path|transcript|duration
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_21109560.mp3|Lecz bandy arabskie zapuszczały się coraz dalej|5.496
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20636467.mp3|Zróbmy tak niech każdy doprowadzi do porządku fabrykę|5.976
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_26818890.mp3|Powiem Panu że musimy być bardzo ostrożni|5.58
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20671631.mp3|Cóż ty takiego wyrabiasz|3.384
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20654907.mp3| Co też pan mówi|2.856
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_26673980.mp3|To nieomal oznacza likwidację postępu osiągniętego w związku z oceną funkcjonalności|9.108
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_30643131.mp3|Musieli mu Krzyżacy pół woza pieniędzy za nich nasypać|6.12
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_30605667.mp3|Ja studiowałbym na przykład astronomię inni mogliby studiować fizykę lub geografię|6.12
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20609579.mp3|Po co ja się z nim w ogólę zadaję|3.84
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20646120.mp3|Kiedy mówił o widmowej twarzy oczy Hanny rozszerzyły się przerażeniem|7.248
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20647546.mp3|nie mam na to czasu|8.472
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_31228613.mp3|Problem jest tym dotkliwszy jeśli przedsiębiorcom pomagają rządy broniące ich interesów|6.984
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_39204059.mp3|Grecja nie prosi o pieniądze|3.276
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20633856.mp3|A za oknem coraz wyższe słońce|4.344
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_27427515.mp3|Czemu musimy o tym mówić  nie tylko historycy ale także politycy|4.86
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_21561267.mp3|Zresztą rozpatrzmy się w całej tej sprawie|4.608
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20775127.mp3|Nigdy więcej|3.096
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20777735.mp3|Zaprosiliśmy go na lunch w pobliskiej knajpie|4.416
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_38754325.mp3|W moim regionie mamy w Bracknell światowej sławy średniego zasięgu centrum prognozowania pogody|7.452
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_21866565.mp3|Postać jego chociaż nie zupełnie wyraźnie odbiła się w wodzie|6.792
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_23444212.mp3|Również istoty czerwonawego koła|4.656
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_21373330.mp3|Po powrocie przywitamy was serdecznie|4.848
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20610282.mp3|Była tylko w koszuli|3.192
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20658586.mp3| Depesza|3.0
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_24919660.mp3|Pochyliłem się i podałem mu go|3.276
/home/ashankwi/commonVoiceData/pl/testFiles/common_voice_pl_20691209.mp3|Jej to też zatyka od dech że nie można żyć wielu żywotami naraz|5.496
