path|transcript|duration
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_26945083.mp3|Het onderzoek zal uitwijzen in welke mate deze eigenschappen verantwoordelijk waren voor de ramp|5.436
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_18994155.mp3|Het meisje had blond haar|3.12
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24720443.mp3|Daarom is er weinig expertise op dit gebied|3.924
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_28247054.mp3|We zijn daarom voor voortzetting van onderhandelingen|5.256
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_17701329.mp3|Het was een leuke vakantie|1.944
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_32079473.mp3|Wij moeten in dit verband een aantal kwesties in overweging nemen|5.796
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_18429657.mp3|In het Nederlands schrijf je soms woorden aaneen als een samenstelling|6.144
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_20009831.mp3|De rook van mijn buurman waaide in mijn gezicht|5.184
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_19812824.mp3|Je moet altijd afremmen voor zwakke weggebruikers|5.424
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_21400961.mp3|Het paard was te oud geworden om bereden te worden|3.984
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_27541927.mp3|Wij moeten ons afvragen hoe dat komt|4.212
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24974268.mp3|Dit moet nu in concrete acties worden vertaald|4.5
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24640235.mp3|Ik wil het hebben over iets wat daarstraks is gebeurd|3.6
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_20536659.mp3|Kan je die papieren in de lade leggen|2.784
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_28721844.mp3|Wat is met die conclusie gedaan|3.348
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_22982315.mp3|Ik ben me ervan bewust dat mediaregulering een zeer gevoelige kwestie is|8.232
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_18263509.mp3|Met zijn pijl en boog mikte hij op de roos|3.576
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_20319444.mp3|Als ik geen telefoon had zou ik me de hele dag vervelen|4.464
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_17816543.mp3|Tim nam afscheid van al zijn collegas|2.304
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_23458489.mp3|Wij zullen ons voor deze doelen blijven inzetten|5.592
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_32237829.mp3|Wij weten exact welke stoffen de ozonlaag aantasten|4.86
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_18161377.mp3|Kan je nog wel op tijd opstaan met dat nieuwe matras|3.936
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24701441.mp3|Een algemene arbeidstijdverkorting zal hetzelfde effect hebben|5.544
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_19483851.mp3|Na drie weken vakantie moest de familie weer terugkeren naar Nederland|5.112
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_25033788.mp3|Er zijn tal van ideeën geopperd over de besteding van die middelen|5.616
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_28076979.mp3|Dat is de andere kant van de medaille|3.78
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_17906431.mp3|Voor haar ga ik door het vuur|3.504
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_18727426.mp3|Sorry er zijn geen tafels meer vrij|4.344
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24634774.mp3|Het verslag beklemtoont de behoefte aan een gezond milieu en het recht op spelen|7.488
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_25002692.mp3|Wie voor sociale zekerheid en economische ontwikkeling is is ook voor flexibelere arbeidsmarkten|7.308
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_22221093.mp3|Het werk is er nu de handhaving nog|3.936
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_27149908.mp3|Maar dat er slechts één kandidaat is bevalt mij niet|4.932
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_32796682.mp3|Olie is een kostbare niet hernieuwbare energiebron waar niet kwistig mee moet worden omgegaan|10.188
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_28009621.mp3|Ik vind dat wij het verleden nu moeten laten rusten|3.564
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_17694758.mp3|Een goed begin is het halve werk|2.664
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24717485.mp3|De technische dialoog is niet het juiste uitgangspunt omdat er daar zeker uitwegen bestaan|6.84
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_28753554.mp3|Tot slot maak ik een afspraak met de regeringen|4.176
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24740897.mp3|Het is onze plicht om het verlies van mensenlevens te voorkomen|5.256
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_17717636.mp3|Elektrische autos zijn de toekomst maar voorlopig zijn ze nog te duur voor het grote publiek|7.104
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_20540644.mp3|Je moet de tweede afrit nemen|4.536
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_25096457.mp3|Dat is natuurlijk grote onzin want dat kan al|4.176
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_36984211.mp3|Hierbij draait alles om de geloofwaardigheid van de conclusies van het onderzoek|6.804
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_22356380.mp3|Democratie is een ondeelbaar begrip waartoe ook de persvrijheid behoort|6.24
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_20535678.mp3|Wie gaat je verzorgen|2.904
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_17708701.mp3|De trainer van de voetbalploeg was altijd op tijd|5.496
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_24640248.mp3|Ik geloof dat u het op dat punt met mij eens bent|3.816
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_23971065.mp3|Daarom moeten wij de handelsbetrekkingen laten uitgroeien tot een forum voor ontwikkeling|5.592
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_25818664.mp3|Nieuwe middelen op de markt brengen is een langdurig en steeds duurder proces|5.4
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_27535525.mp3|De enige partij die zich hier openlijk tegen heeft verzet is de conservatieve partij|6.3
/home/ashankwi/commonVoiceData/nl/testFiles/common_voice_nl_27712376.mp3|Ik heb daar namelijk mijn twijfels over|3.204
