path|transcript|duration
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_21568219.mp3|Though he had lost political favor Zeami continued to write prolifically|6.36
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_6292629.mp3|Out of debt out of danger|4.056
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19971615.mp3|Does an entry have to be reporting on a union|6.984
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19442319.mp3|Various types of onboard train toilet facilities may also be provided|7.8
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_36935597.mp3|Uniquely it flows from south to north|4.104
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18614334.mp3|And he spread out his hands with an impulsive gesture of despair|5.904
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_679076.mp3|Sorry to keep you waiting|4.248
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_509317.mp3|Go back to watching the caravan he said|3.672
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_221206.mp3|A blond tennis player in action on a grass court|9.192
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_17911375.mp3|The bill was paid every third week|3.456
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_1836386.mp3|Mount Everest is found on the international boarder between China and Nepal|7.224
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18586339.mp3|And hell be in the same scrape again next week|4.896
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_32642954.mp3|Agriculture and forestry characterize the upper part of this valley|8.136
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18232713.mp3|Can you beat it|2.208
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_55485.mp3|Like everybody learns he said|10.512
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_593479.mp3|A group of people from all different ethnic backgrounds have come together in protest|7.704
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_22951223.mp3|The final act of the play begins in the garden|4.296
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_21086795.mp3|John Milton called his works divine and the equal of Plato|5.904
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_26949788.mp3|Revies departure was tough for Bremner who had a strong bond with his manager|7.524
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_20280283.mp3|This has called for larger municipalities|4.488
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19627437.mp3|It is a member of the plastocyanin family of copperbinding proteins|7.128
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_36512107.mp3|But only four eventually reach the coffee plantations the rest dying on the way|9.468
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19961336.mp3|Norwegian Spirit is the first ship of this design|4.848
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_507143.mp3|What are you doing in here|9.6
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_20323738.mp3|So yeah Ill just get myself into musical shape just concentrating on the guitar|8.712
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_17645826.mp3|No but it is nice to meet you|2.304
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_499613.mp3|Theyre recognizing Great Britain|4.824
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_646457.mp3|In correct time (musical)|4.296
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_23354516.mp3|The potential subject matters of investigation are simply too varied|5.736
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_22158989.mp3|two|2.304
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_489120.mp3|The robot was filled with wires and circuit boards|4.32
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19631460.mp3|The player controls Valiant enabling him to walk jump and throw things at opponents|9.12
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_20848908.mp3|For Gods sake look at this|4.848
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19818235.mp3|It is a soft woolen hat that covers the ears and neck|5.832
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_379463.mp3|Whats it all about|3.384
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18316459.mp3|Its best to use washingup liquid if youre going to wash the dishes|6.552
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_36464837.mp3|However increasingly in Italy some monasteries and religious houses offer dedicated pilgrims accommodation|9.54
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_12677.mp3|Man in red tshirt and baseball cap viewed from above he is has a pile of posters|6.144
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_20289.mp3|It was the first time either had touched the other|8.568
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_26956327.mp3|Epic Records asked Rosenberg if he had enough material for an album|5.256
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18579844.mp3|It was not easy to baffle her I can tell you|6.144
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_32396608.mp3|Muller was educated in business and moved to Rotterdam|6.408
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_25384850.mp3|Nutt had initially refused Mustains request to transfer out|7.056
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19655078.mp3|The nearest railway station is Sea Mills station at Sea Mills|5.184
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_38108837.mp3|The three tugs signify independence|4.356
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_17249095.mp3|If the cap fits wear it|3.504
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_30450853.mp3|Kellman later signed for Western Tigers|5.256
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_197163.mp3|In those times the Master Work could be written simply on an emerald|7.488
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_20234984.mp3|The Little Mountain Reunion is one of South Carolinas oldest folk festivals|8.424
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_663130.mp3|An Asian woman mountain climbing|3.288
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_36490764.mp3|The district hosts several annual events and festivals|5.436
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_21677926.mp3|The extra cloth is allowed to fold randomly and changes over time with use|7.00075
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_26960402.mp3|Among other nutrients lost are dietary fiber and small amounts of fatty acids|6.66
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_219953.mp3|The Englishman didnt answer him directly|2.424
