path|transcript|duration
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_27158461.mp3|Een dergelijk partnerschap dient breed te zijn|4.356
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24703419.mp3|Er is nogal wat misinformatie over de inhoud van de voorstellen in omloop|5.4
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24602778.mp3|Dat is op termijn onhoudbaar|2.376
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26645230.mp3|Ze hebben onze hulp nodig|2.304
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24585223.mp3|Wat bedoelen we nu met eerlijke luchthavengelden|4.284
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_28775752.mp3|In een jaar van massaontslagen is dit aspect bepaald geen bijzaak|5.364
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26606055.mp3|De motie van afkeuring berust dus op ongegronde insinuaties|4.536
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24221349.mp3|Mijns inziens is dit een aanknopingspunt dat wij niet uit het oog mogen verliezen|5.184
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24699182.mp3|De discussies hebben helaas niet geleid tot tastbare resultaten|3.888
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_31207833.mp3|Ook hierover hebben wij uitgebreid gediscussieerd op dezelfde commissievergadering|6.408
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_28376427.mp3|De commissaris heeft de wet op de openbare aanbestedingen genoemd|5.58
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23940532.mp3|Naar ons idee staan we aan dezelfde kant als u|3.48
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_28773139.mp3|Wij menen dat in deze strategische sector de overheid een dominante positie moet behouden|7.236
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26633886.mp3|Dat is het akkoord van twintig jaar geleden uit het vredesverdrag|4.5
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23965186.mp3|Mensenrechten zijn er niet slechts voor ons|3.192
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_27139019.mp3|Het kan niet anders of mijn collegas delen deze mening met mij|4.464
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_22290097.mp3|Dames en heren zo een systeem hebben wij|4.632
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_25382919.mp3|Dit heeft zich nooit eerder in de geschiedenis voorgedaan|4.932
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24593860.mp3|Ik zal de belangrijkste onderdelen van dit voorstel eruit lichten|3.924
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_37245630.mp3|Dat hebben we niet een keer gedaan maar meermaals|3.924
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26652833.mp3|Het verslag is duidelijk bondig en ter zake|3.636
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26743391.mp3|Een van die beginselen is gendergelijkheid en wel een zeer belangrijk beginsel|5.652
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26687524.mp3|Het publiekprivate initiatief is op een fiasco uitgelopen|4.284
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24072611.mp3|Wederom was het mogelijk om met de collegas goed samen te werken|3.96
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23937927.mp3|Vrijheid van meningsuiting houdt op bij racisme|3.96
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23615860.mp3|Niets is er helemaal niets|4.176
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_22973013.mp3|Tot slot wil ik nog even stilstaan bij de procedure|4.992
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26668694.mp3|Besluiten over veiligheid worden meestal voorafgegaan door dodelijke ongelukken|4.68
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24008566.mp3|Alles moet in het werk gesteld worden om deze te verkrijgen|3.708
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24089756.mp3|Dit resultaat toont aan dat de rapporteur uitstekend werk heeft geleverd|4.428
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23922941.mp3|Waarom zouden wij de meerderheid dan buiten beschouwing laten|3.816
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24770945.mp3|Maar ik beperk mij nu tot het onderwerp waarover zij sprak|3.564
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24014460.mp3|Het tijdstip van onze discussie over dit verslag is heel belangrijk|4.32
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26643812.mp3|Dat is al een groter probleem en dit mogen wij ook niet vergeten|4.536
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_35304967.mp3|Ik zou de rapporteur willen feliciteren|3.564
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_25360408.mp3|Dit had men inderdaad boven de begroting van dit jaar kunnen schrijven|4.968
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23966876.mp3|Wij willen dat de vrijheid van meningsuiting wordt gerespecteerd|4.488
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23958560.mp3|Bij die strategie is dan ook een breed scala aan bevoegdheden betrokken|6.624
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23935273.mp3|Dat is buitengewoon triest|2.568
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26651027.mp3|Ik bedoel de zogenaamde lijst van terroristische organisaties|4.86
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26668900.mp3|Er worden almaar nieuwe regels voor beter economisch bestuur opgesteld maar het blijft onvoldoende|5.868
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23971651.mp3|Wat voor antwoord kunnen wij daarop nu geven behalve onze onmacht|4.632
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_24761900.mp3|Wat voor gevolgen heeft dit voor de terugbetaling|2.844
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_28772508.mp3|Al deze elementen wijzen op het grote belang van dit debat op wereldschaal|6.66
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_23968620.mp3|Aldus wil men voorkomen dat van de bedrijfstak onmogelijke dingen worden gevraagd|4.776
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26616921.mp3|Daarop heb ik in het verslag willen wijzen|2.808
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_26746475.mp3|Europa moet kiezen ofwel nemen wij de leiding ofwel dansen wij naar andermans pijpen|6.804
/home/ashankwi/commonVoiceData/nl/trainFiles/common_voice_nl_30383353.mp3|Zo zit het natuurlijk niet|2.916
