path|transcript|duration
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26015257.mp3|レポートマークリスト：A|2.88
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26032089.mp3|米国の罹患率は、他の国のよりいくらか高い傾向があります。|4.428
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_37385830.mp3|オーバーヘッドはまねしたらケガするぞ|4.896
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26236607.mp3|「crow」という語は、多くの種の共通名の一部として使用されます。|5.4
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25899582.mp3|ちょうどこの文をでっち上げたたところだ。|5.76
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26104908.mp3|盾の周りには、グランドエーグルのフランス騎士団がいました。|5.04
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26068191.mp3|彼の代表的な演奏フレーズは、フットボールと美を演奏することです。|4.896
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_21787969.mp3|気管支ぜんそくや鼻炎も広まっている。|5.208
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36345964.mp3|それが自己を行為の立場から分離するのも、|2.88
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26048916.mp3|オーティスは、彼が成功する可能性は低いと気が付いて、バーンヤードを離れることを決めた。|6.732
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25895476.mp3|地域の主要な祭りは、地元の聖人「オリーブのバージン」を祝っています。|7.236
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36301888.mp3|信用を勝ち取るためには、普段から好感を持たれる言動が必要です|5.4
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25897573.mp3|サウンドトラックは作曲家マイケル・スターンズによる単一で連続した曲で構成されている。|7.74
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_20097427.mp3|旅館やホテルに着くと、非常口を尋ねる。|5.064
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26051080.mp3|ハーバード大学在学中に「私たちの旅行ガイド」を立ち上げました。|5.328
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_27737522.mp3|声変わりして背もぐんと高くなった|4.356
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_20184215.mp3|人間の心底に潜む、自分本位の醜さを、遠慮なくさらけ出します。|8.28
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26102959.mp3|にもかかわらず彼らの関係は、著しく緊迫していました。|5.436
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26071927.mp3|トーマス・フォスターは、アブドゥル・ラーマンと同じ年に亡くなりました。|5.832
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_35966932.mp3|プロが教えるここだけの話とか言うけど、普通にネットにあった|4.176
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25973344.mp3|男の子は彼らを、男の子が前日に訪れた崖に連れて行った。|5.76
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_37657174.mp3|そんなふうにして教えられたので、二三日もすると、私はもう欲しいものを口で言えるようになりました。|6.84
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26124351.mp3|サミュエル・オートンは失読症といった盲目による学習方法を手がけました。|5.472
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_35888701.mp3|必要なパソコンを買う金を工面する|3.996
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25989112.mp3|その上で彼はそこには入らないと言いました。|4.536
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26038022.mp3|この番組は、毎晩ジム・オルブライトの司会でした。|3.708
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25990534.mp3|P-gpの異所的結合ポケットには、芳香族アミノ酸側鎖が並んでいます。|5.904
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36332572.mp3|体にいいと宣伝してるけど、飲んでる人まわりで見たことない|5.076
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_35847039.mp3|香川県丸亀市|3.24
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26001266.mp3|彼女ｊは左利きのピッチングをしていたものの、ゴルフは右利きを習得した。|5.796
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26039094.mp3|黄色いドレスを着た四人の女性がバレエを披露しています。|3.888
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26051396.mp3|北西から南東に延び、コロンバスとマディソンの街を結んでいる。|4.572
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26030167.mp3|エストリーには数多くの自然公園もある。|3.708
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36140345.mp3|店内に会社オリジナルのテーマソングが流れてる|3.996
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36307692.mp3|そして社会における慣習が法的な強制的な性質をもっているように、|5.256
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36350272.mp3|まあそれで合ってると思うけど|3.24
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26026042.mp3|この続編では、ニール・パトリック・ハリスもゲスト参加で戻りました。|5.544
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36316135.mp3|故に種的形成からイデヤ的形成に発展する。|6.732
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_20591725.mp3|図書館に本を返します。|3.576
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26039256.mp3|太鼓を持って馬に乗った男を見ている男女がたくさんいます。|4.32
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26105268.mp3|ランタンが林を照らした。|3.276
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_37628220.mp3|大学生が、そこから三メートル、五メートルとはなれていっても、影だけは少しも動かず、もとの地面に、よこたわっているのです。|8.1
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26051969.mp3|ヘンダーソンは第一次世界大戦ではアーティスツ・ライフルズ部隊に所属していた。|5.292
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_20097402.mp3|松井さんに鉛筆を貸してもらいました。|4.152
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25286717.mp3|遺留品といっては、糸一本も落ちていなかった。|4.176
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25948907.mp3|その頂上はトネリコの木や低木で覆われている。|5.076
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36255517.mp3|けれども意味とか目的とか価値とかも、単に主観的なものであり得ず、|4.536
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36306357.mp3|そこを我慢して無理やりに這って行くとようやくの事で何となく人間臭い所へ出た|5.868
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36300310.mp3|アグアスカリエンテス州の州都はアグアスカリエンテスである|5.508
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_27697387.mp3|夜中に携帯の話し声が響いてうるさい|3.204
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_20074582.mp3|スマートフォンからフィーチャーフォンまでマルチデバイスに対応|5.232
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26037662.mp3|彼はパテート・ラーオの反乱の武将だった。|4.788
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36340687.mp3|だけど、知った顔は見当たらない。|3.96
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26067500.mp3|「人名のオックスフォード辞典」。|2.7
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26003818.mp3|彼は後にピアースビジネススクールに入学しました。|5.256
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26051145.mp3|ニュートンの後、多くの改訂が加えられました。|3.996
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36321750.mp3|雑魚メンタル克服してやるよ|1.908
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26130950.mp3|警官殺しに容赦はありません！|2.88
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_27696009.mp3|故に歴史的世界において主体が環境を形成するということは、形相が質料を形成するという如きことではない。|9.36
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26001219.mp3|そのトラックラインは閉鎖後解除された。|3.132
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26067902.mp3|北部と西部の両方のハシブトモズヒタキは、生息地の減少や分断化にさいなまれています。|5.94
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26028189.mp3|レクリエーションエリアは引き続き一般に公開されています。|5.04
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36316844.mp3|鈴木です|2.592
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_20815885.mp3|けさはいい天気です。|3.456
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36333939.mp3|記憶の中のまま、砂場は変わっていなかった|3.456
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_19779851.mp3|みんな、この大学の学生です。|3.408
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_35870986.mp3|吾輩は藁の上から急に笹原の中へ棄てられたのである|6.156
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26000806.mp3|この遺伝子は、BCR-ABL融合蛋白質をエンコードする。|4.788
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26031385.mp3|ジョン王は息子と一緒に泳ぐように誘った。|4.104
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26068095.mp3|フォーラムの「対話」での講演者の選択も抗議の火付け役となりました。|4.608
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26015579.mp3|地元の住民はよく、ベリー・セント・エドマンズをシンプルに「ベリー」と呼ぶ。|4.356
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26142053.mp3|ケルベロスは、もっと安全な方法で、認証を行うようにデザインされた。|4.644
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36335596.mp3|社会というのは、矛盾的自己同一的世界の自己形成として成立するのである。|4.248
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25905078.mp3|フィクションとノンフィクション..もちろん私はここに無駄に座っているわけではありません。|7.02
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26081082.mp3|彼らは、切り裂きジャックの心を読み、操作することができます。|5.04
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_24785877.mp3|教室に机といすがあります。|3.708
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26068003.mp3|雪で覆われた大きな棒を運びながら雪の中を走っている茶色の犬|4.896
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25926296.mp3|その首都はレグニツァでした。|3.636
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26063969.mp3|もう一つの歴史的に重要な移民集団はクロアチア人です。|5.904
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26008885.mp3|改善したにもかかわらず、コメンテーターは国政政党が別の接戦による勝利を得るかを推測しました。|6.3
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36324426.mp3|不景気というより、マネーゲームが破綻しただけ|4.068
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_25884996.mp3|学校の運動チームのチーム名は「ハードロッカー」です。|5.256
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_36305771.mp3|アプリから通知きてなかった？|3.888
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26206210.mp3|古代ギリシャの文人もトラキア人を赤毛と表現しています。|5.58
/home/ashankwi/commonVoiceData/ja/trainFiles/common_voice_ja_26255821.mp3|同年、レフシェール島造船所が設立された。|4.716
