path|transcript|duration
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37303744.mp3|პოეტური შემოქმედების გარდა დაკავებული იყო მთარგმნელობითი საქმიანობით რედაქტორობით აქტიურად მუშაობდა საბავშვო პოეზიაში|10.476
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37309070.mp3|მიეკუთვნება სენტრუამაზონენსის მეზორეგიონს|4.968
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37365519.mp3|წვერიანი კოლი ადვილად ეგუება ქალაქის პირობებს და სიცივეს ძნელად იწვრთნება|7.164
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37351234.mp3|ჩრდილოეთი კალთები დამრეცია და შეიცავს რიგ გასწვრივ ხეობას|7.668
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_36516558.mp3|ნენსის სიკვდილის გარშემო წარმოიშვა მრავალი თეორია|5.976
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37535184.mp3|კვლევა კანადის კიბოს საზოგადოებამ და ალბერტას უნივერსიტეტის კიბოს ფონდმა დააფინანსა|7.74
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37381228.mp3|ხდება ამ ტიტულის მატარებელი ყველაზე ახალგაზრდა ადამიანი|4.716
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_34269767.mp3|ჰელბრუნის სასახლე ცნობილია თავისი შადრევნებით|4.608
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37550904.mp3|ამბოხება ჩაახშეს საღვთო კავშირისა და საფრანგეთის არმიის დახმარებით|5.94
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37341648.mp3|აღმოსავლეთით ნახევარწრიულ აფსიდში ერთი სარკმელია ხოლო მის ჩრდილოეთით ერთი ვიწრო ნიში|6.768
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_36659180.mp3|დღემდე გამართულ თხუთმეტ ტურნირში შვიდმა ერევნული ქვეყნის ნაკრებმა შეძლო თასის მოპოვება|5.724
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37828428.mp3|ამასთან ერთად იყო შავი ზღვის ეკონომიკური პარტნიორობის საპარლამენტო ასამბლეის ვიცეპრეზიდენტი|6.552
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37302080.mp3|ამას ჩვეულებრივ ავტობუსის მწარმოებლები აკეთებენ|4.86
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37356105.mp3|ყველაფერი ჩვეულებრივად მიდიოდა მაგრამ მოულოდნელად ალექსანდრე ავად გახდა|6.768
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_36518992.mp3|ამჟამად კლუბი საქართველოს ჩემპიონატის უმაღლეს ლიგაში ასპარეზობს|5.04
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_24890567.mp3|ჩრდილოეთ კარის ზედა ნაწილი დანგრეულია და მისი გადახურვის ფორმის დადგენა არ ხერხდება|6.336
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37407917.mp3|ნაყოფის წვენს სუსტი მჟავიანობა ახასიათებს|3.888
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37359698.mp3|მდებარეობს კირენაიკის ტერიტორიაზე ელვახატის რაიონში|5.436
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37379335.mp3|ის მრავალ წერილს სწერდა ევროპელ და აზიელ მონარქებს ოსმალთა წინააღმდეგ კოალიციის შესაქმნელად|7.956
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37492318.mp3|ინტერიერში შემორჩენილია მოხატულობის კვალი|3.708
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37303245.mp3|მისი სახე მკაცრი და ძლიერია|3.78
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37526313.mp3|მძიმე შემთხვევებში შესაძლოა ღვიძლის გადანერგვა გახდეს საჭირო|5.472
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37602779.mp3|მუშაობდა ირიგაციის მინისტრის მოადგილედ ჩანდრიკა კუმარატუნგას მთავრობაში|5.832
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37363687.mp3|კამერუნის დემოგრაფიული პროფილი საკმაოდ რთულია|4.86
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37564466.mp3|სექციის შესაბამისი ქანები წარმოიქმნება გეოლოგიური ეპოქის განმავლობაში|6.192
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_36480702.mp3|ესენი იყვნენ ედუარ მანე კლოდ მონე ოგიუსტ რენუარი ედგარ დეგა|7.236
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_25676037.mp3|ასეთი კონცენტრაციის დროს წყლის ხარისხზე ზემოქმედება უმნიშვნელოა|6.12
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_36501994.mp3|ბალკანეთის პირველი ომის დროს მელნიკი საბოლოოდ გაათავისუფლეს და კვლავ გახდა ბულგარეთის ნაწილი|7.2
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37330282.mp3|ჯეფრის ბევრი ადრინდელი შემოქმედების თანაავტორია მისი მეუღლე ჰილარი ჰემინგუეი რომელიც ერნესტ ჰემინგუეის ნათესავად ეკუთვნის|9.828
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37574539.mp3|სათავსი გეგმით სწორკუთხაა|3.024
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_36551284.mp3|აქ დგას მისი საწერი მაგიდა თავისი სავარძლით როიალი რბილი ავეჯი|7.128
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37392116.mp3|ფოტოსფეროს ზემოთ მზის ხილული შუქი თავისუფლად ვრცელდება კოსმოსში და მისი ენერგია მთლიანად უსხლტება მზეს|9.18
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37243935.mp3|აშენებენ დეკორატიულ მცენარედ|4.248
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37391433.mp3|მდებარეობს მდინარე ქსნის ხეობის მარცხენა მხარეს|3.852
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_27711082.mp3|მეორე ნაწილში ასახულია სპეციფიკური ამოცანები კულტურის სხვადასხვა დარგის მიხედვით|6.408
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_25529966.mp3|გამოიყენება როგორც წყალსაცავი ამიტომ მისი დონე ხელოვნურადაა აწეული|6.408
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37535211.mp3|მანისა ითვლებოდა საუფლისწულო დომენად და ის ვინც იქ მსახურობდა იყო ოსმალეთის იმპერიის ტახტის მემკვიდრე|7.704
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_24890644.mp3|სარკმლის ორივე მხარეს თითო სწორკუთხა ნიშაა|3.996
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_21367193.mp3|კანტონის კანონმდებლობით ვენახები დაცულია ყოველგვარი თანამედროვე განვითარებისგან|6.024
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37543763.mp3|კონსტრუქციული სამუშაოები ძირითადად ადგილობრივმა მოსახლეობამ დააფინანსა|6.66
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37333725.mp3|აღწერა არაერთი სახეობის განამარხებული მცენარე და ცხოველი|5.04
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_34347593.mp3|სასახლე მოგვიანებით სამეფო ოჯახმა შეიძინა და სტოკჰოლმის საგრაფოს გუბერნატორის საცხოვრისად გამოიყენებოდა ხოლმე|7.488
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_38181886.mp3|თავდაპირველად შესრულდა როგორც რიტუალური ცეკვა რომელიც ბრძოლის წინ ჯარისკაცების საბრძოლო ხასიათს აამაღლებდა|7.56
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37268330.mp3|აღმოსავლეთ კედელში სარკმლის მხოლოდ ქვედა ნახევარია შემორჩენილი|5.4
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37426635.mp3|ხალხის გამოსახულება გამოსახულია სქემატურად|5.616
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37352792.mp3|სათავე აქვს ციხისჯვრის ქედის ჩრდილოეთ კალთაზე|4.608
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_34232078.mp3|მუშაობდა რუსთავის მეტალურგიულ ქარხანაში პოლიტექნიკურ ინსტიტუტში|5.76
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37309029.mp3|კულტივირებულია სუბტროპიკულ ზონაში|3.528
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_34670230.mp3|ტყეები მდიდარია ტყის ხილით ვაშლი მსხალი ზღმარტლი ჟოლო მოცვი ასკილი კუნელი|7.956
/home/ashankwi/commonVoiceData/ka/clips/common_voice_ka_37526390.mp3|ევროპელებს აქვთ დიდი ძლიერი ციხესიმაგრეები უდაბნოს მიწებზე|5.688
