path|transcript|duration
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_24736324.mp3|คุณได้ยินเรื่องอัลบั้มใหม่ของพวกเขาแล้วยัง|5.328
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26118319.mp3|ลมเพลมพัด|2.196
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25675848.mp3|แล้วเขาก็รีบทำ อย่างที่ปิแอร์ได้แนะนำเขามา|6.3
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25686547.mp3|ชาติฝรั่งเศสเป็นผู้คิดค้นครัวซองท์|4.32
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25733450.mp3|สี่แยก|2.88
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25674046.mp3|ฉันได้ฝึกเขียนโค้ดมาหลายปีแล้ว|3.636
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26314824.mp3|บนพื้นฐานของการรักษาทรัพยากรทางการประมง|5.112
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25921713.mp3|ฉันจะช่วยมันได้อย่างไร|3.096
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25658272.mp3|ผลการเลือกตั้งที่ออกมาคุณคิดเห็นอย่างไร|4.968
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25673846.mp3|ใช่ เขาพูดพร้อมพยักหน้า|4.752
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25663483.mp3|เอาเลย ลองใจฉันสิ|3.636
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25677089.mp3|ตะเกียงส่องประกายไฟสีเขียวที่มั่นคง|4.932
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31876621.mp3|สำหรับเนื้อหาอย่างอื่น เราจ่ายเพื่อให้ได้ดูสิ่งที่เราอยากดู|3.996
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25703989.mp3|เขามีไขมันอุดตันในเส้นเลือด|3.924
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26843087.mp3|นั่นไม่ใช่บ้านของเธอ|2.736
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26014148.mp3|นักเคลื่อนไหวอ้างว่าท่อส่งก๊าซผ่านทะเลบอลติกกำลังรั่ว|6.228
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25657123.mp3|เมอร์เซเดสร้อง ร่ำไห้ ขบขัน และประจักษ์แจกถึงการละทิ้งความวุ่นวายของโรคฮิสทีเรีย|9.108
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27712013.mp3|พ่อลูก อุปลักษณ์อัปลักษณ์|3.636
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25689986.mp3|ไม้ขีดไฟอย่างดี ไฟแรง ไม่หักง่าย|5.508
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25636673.mp3|คุณเคยลงแข่งวิ่งรถมาแล้วกี่ครั้ง|5.256
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25684886.mp3|ในเมมโมรี่การ์ดนี้ มีรูปมากมายเลยล่ะ|3.42
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27169362.mp3|มีเล่ห์กล|2.7
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31244980.mp3|ปรากฏว่า ฝั่งที่อยากได้ หาทางขวางไม่ให้ฝั่งที่ไม่อยาก เข้าประชุมได้ล่าช้า ไปเคาะประตูห้องพัก|7.776
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_35049314.mp3|การละเมิดผู้ใช้ ฟ้อง จับ ปล่อยให้ถูกทำร้าย|4.716
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25672098.mp3|มันเป็นภาพที่เยี่ยมมาก|4.32
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25681222.mp3|คนหลายพันคนตายทุกปีจากมลพิษทางอากาศ|5.364
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25704544.mp3|และถ้าหากมีอะไรเกิดขึ้นตอนที่เรากำลังกินอาหารอยู่ล่ะ|8.82
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_30466248.mp3|แต่ก็ยังได้มาไม่เต็มเม็ดเต็มหน่วย|4.248
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_24563674.mp3|เขาดึงคางสองชั้นของฉันออกมา ฉันยอมรับฉลามของเธอ|6.696
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26058818.mp3|ในน้ำมีปลาในนามีข้าว|4.32
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27660377.mp3|สองคำถาม ในทางปฏิบัติ ที่คนเสื้อแดงควรตอบตัวเองให้ได้ก่อนการเคลื่อนไหว ต่อสู้ ใหญ่ครั้งต่อไป|8.028
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_34907387.mp3|เอไอเอสให้ความสำคัญกับการรักษาความปลอดภัยในข้อมูลของลูกค้า|5.616
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25675016.mp3|ในแง่ของการพัฒนาที่ผ่านมาการประชุมจะเลื่อนออกไปจนถึงวันพรุ่งนี้|5.616
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25668379.mp3|คุณแน่ใจใช่ไหมว่าหน้าบ้านมีเจ้าหน้าที่เฝ้าอยู่|5.004
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25704369.mp3|เราต้องทำหรือไม่ |3.96
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25685760.mp3|การออกกำลังกายทั่ว ๆ ไปสามารถพัฒนาสุขภาพของการไหลเวียนได้|5.688
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_28340171.mp3|เวลาคุยกับเราชอบเอามือมาสัมผัสตัวเราบ่อย|4.86
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_36674031.mp3|กูจะไม่ยอมเห็นรูปนี้คนเดียว|4.896
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_23782937.mp3|ฉันจะแนะนำนี่ให้กับทัปปี้|4.128
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25747888.mp3|เขาจะทำให้ตัวเองตาบอดในช่วงนั้น|4.788
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25700139.mp3|มีดาวเคราะห์กี่ดวงในระบบสุริยะจักรวาล|5.724
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25660035.mp3|ว่าคนอื่นอยู่เสมอ|3.636
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26892890.mp3|สำนักพิมพ์ผีเสื้อ|3.06
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25674819.mp3|ตอนนี้พวกเราขอเวลาสักแปป|3.456
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25665214.mp3|เดี๋ยวนี้  ราชินีโอดครวญ|4.5
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31878239.mp3|ชิ้นสี่กัลยามาแต่ไพร ทุบสัข์ป่นไปกับนอกชาน|6.48
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25685955.mp3|ยี่สิบนาฬิกา|3.132
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25953501.mp3|คุณเคยได้ยินเพลงชาติของเกาหลีใต้ไหม|3.744
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25677103.mp3|ฉันแค่มองหาเขา|3.492
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25005257.mp3|เราจะไม่มีเงินเหลือ|3.636
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26197191.mp3|ผลิตภัณฑ์อาหารกว้างไพศาล|3.6
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25929497.mp3|ทนกับฉันหน่อยนะ|3.276
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_30339788.mp3|โดยเฉพาะที่สถานีรถไฟน้ำพองยังมีหอน้ำไว้เติมน้ำให้รถจักรไอน้ำอยู่|7.056
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25699857.mp3|หนึ่งร้อย|3.132
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27660440.mp3|แว๊บกลับมาบ้าน|3.06
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25708562.mp3|นั่นคือถนนอะไรที่โผล่ออกมาจากมุมนั้น|4.68
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25666655.mp3|รัฐธรรมนูญของอาณาจักร|3.492
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25976342.mp3|พวกเขารู้สึกว่าคนขายนั้นโกหกพวกเขา|5.076
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25967159.mp3|ฉันว่าเธอบอกชั้นมาแล้วนะ|3.888
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25903468.mp3|อย่าพยายามเลยที่รัก เขาตอบ|3.168
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25647057.mp3|หวังว่าจะมีซักบรรทัดที่ทำให้คุณยิ้มได้|4.716
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25885664.mp3|เขาไม่ได้ถูกทำให้ไม่พอใจด้วยความกระตือรือร้นของเพื่อนของเขา|8.46
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26162364.mp3|ภัคชนน นิติสาขา|3.996
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25685787.mp3|คาว เขาพูด|3.672
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_28875330.mp3|เก็บตกระหว่างที่เน็ตหลุด|1.98
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31954604.mp3|มาออกร้านขายของเล็ก|6.408
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25693885.mp3|ฉันขอเสนอการโจมตีด้วยพจนานุกรมแทนที่จะใช้กำลังดุร้าย|7.488
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26198207.mp3|และให้ความรู้เยาวชนถึงภัยยาเสพติดอย่างต่อเนื่อง|5.76
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25727373.mp3|ก่อนที่ฟิลิปจะฟื้นตัว การ์ดของเจนนี่อยู่กับเขาตลอด|5.328
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_30572233.mp3|สิ่งสำคัญอีกอย่างที่ห้ามมองข้ามคือ การเลือกทิ้งข้าวของที่ไม่จำเป็นออกไปก่อนทำการจัดเก็บ|8.856
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_30573875.mp3|กฎความปลอดภัย เพื่อไปส่งของ|3.996
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26726618.mp3|ฉันจะทำเสร็จได้ยังไงเนี่ย  เธอคิด|4.536
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25651983.mp3|แมรี่หลอมรวมแนวคิดจากการระดมสมองในแผนของเธอ|6.696
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25898175.mp3|คุณหมายถึงอะไรโดยพูดสิ่งนี้|3.6
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25713244.mp3|เขาเดินทางไปต่างประเทศ|5.256
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25685685.mp3|พ่อของคุณอยู่ไหน|2.808
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31775544.mp3|สหภาพสมาชิกรัฐสภาเอเชีย|3.78
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26441410.mp3|ไอรัก ไฟแค้น  ช่อมณี|4.536
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25684779.mp3|การตัดคำภาษาไทยยังไม่มีมาตรฐาน|3.384
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31900420.mp3|ฌาปนกิจสงเคราะห์|3.276
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25730762.mp3|ภรรยาของฉันเป็นช่างตัดเย็บที่สุดยอด เธอตัดเย็บเสื้อผ้าของเธอเองทั้งหมด|6.696
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26126033.mp3|ฉันอาจกำลังขับรถกับเพื่อนร่วมงานบางคน|3.924
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26058595.mp3|ทุนธนชาต|2.916
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25676034.mp3|ชาวอินเดียรู้สึกถึงการบูชาอันอบอุ่นของเธอในหัวใจของเขา|7.092
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25880817.mp3|เขาต้องทำอะไร|2.736
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25671285.mp3|ตาดำปลูกผักคะน้าเมื่อวานนี้|4.212
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25681043.mp3|พวกเราสามารถทำได้โดยไม่มีลอปสเตอร์ คุณก็รู้|4.788
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27376809.mp3|ก็แน่นอนว่า ต้องตามกัน|3.456
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25884973.mp3|คนขอทานไม่สามารถเลือกได้|5.4
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26446573.mp3|สองร้อยยี่สิบกรัม|3.708
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25674316.mp3|เจสซี่เป็นนักแสดงตลกที่มีชื่อเสียง|3.96
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26084511.mp3|โรจูคิส อินเตอร์เนชั่นแนล|3.348
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25646904.mp3|ไม่ คุณผู้หญิง ฉันเห็นเขา |3.456
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25637701.mp3|หรี่|2.556
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25669683.mp3|หล่อนหลับตาเพื่อหลีกเลี่ยงแสง|5.616
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_28847948.mp3|ไม่ต้องเข้าโอเอสหลัก|2.196
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27143485.mp3|ถ้ำขึ้นมาต่อสู้กับไกรทอง|4.716
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26026806.mp3|เขาเสียใจและเบื่อหน่ายอยู่ตลอด|3.564
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25670806.mp3|ห้องแต่งตัวอยู่ข้าง ๆ ผู้หญิงคนนั้น|4.248
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25918292.mp3|ฉันจะนำรถลงมาจากประตู|3.6
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_32362925.mp3|คนกรุงเทพไปกองที่หัวหิน|3.6
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25630473.mp3|ข่าวลือเหล่านี้อาจเกิดขึ้นกับเรา|4.716
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25666605.mp3|ซื้อคอม|2.736
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25657399.mp3|นางราเชลเพื่อนสาวของเราไม่เคยได้ยินเรื่องนี้|5.076
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25677939.mp3|ทำรายงานออกมาซะ|4.248
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25900544.mp3|เนลลี่ มานี่ ตอนนี้เป็นตอนเช้าไหม |5.616
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25658086.mp3|ตอนนี้ คิดตี้ เรามาช่วยกันคิดว่าใครคือที่อยู่ในความฝันนั้น|7.416
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25730935.mp3|ประมวลกฎหมายอาญา|3.924
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27667232.mp3|บอกว่าเป็นธรรม  พิธีกรยังไม่พอใจคำตอบ|4.86
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25665750.mp3|เทคโนโลยีที่ช่วยในการเข้าถึงสามารถเป็นประโยชน์กับคนที่แข็งแรงได้เมื่อเขาพิการชั่วคราว|7.596
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25737763.mp3|ฉันต้องการความจริง|3.132
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25975996.mp3|ฉันให้ขนมหวานแก่เขาเพื่อที่จะไม่ป่วย|4.608
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25717234.mp3|เร็วเข้า ลากเธอไป|3.24
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25704230.mp3|เธอยืนบิดนิ้วและเกากรวดด้วยเท้าของเธอ|6.768
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26119083.mp3|ฆ่าช้างเอางา|3.456
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27821864.mp3|เฉพาะด้วยตัวชี้วัดนั้นการกระจัดเท่านั้น ซึ่งเราเป็นคนเลือกเขาอาจจะไม่ได้เลือก|9.396
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26057803.mp3|บทสนทนาที่รีบร้อนจบลงแล้ว|3.24
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25655266.mp3|เขียนเอบีซียังยาก|3.996
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25654286.mp3|ฉันทำอะไรได้อีก|3.996
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25765338.mp3|ข้ารับใช้ของเขาอยู่ที่ไหน|2.88
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_28493464.mp3|อานนท์ รุ้ง สมยศ เอกชัย แบงค์ ไมค์ ยังอยู่ในคุกอยู่เลย|6.588
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_25680762.mp3|ฉันมีแถลงการณ์สำคัญ|4.284
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_29475467.mp3|บุปผา แปลว่าดอกไม้ ทำไมต้องแปลซ้ำซ้อนเนี่ย|5.76
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_31897691.mp3|กะเดี้ยกะด้อ|2.916
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_26503403.mp3|องค์การสงเคราะห์ทหารผ่านศึก|4.716
/home/ashankwi/commonVoiceData/th/clips//common_voice_th_27612255.mp3|เมนูวันนี้ ก๋วยจั๊บ เมื่อวาน ข้าวต้มไก่ พรุ่งนี้ถ้าเป็น ทาโกะยากิ ก็แจ่มเลย  วัดเขามีป่าวหว่า |10.188
