path|transcript|duration
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_21094020.mp3|Its name is from the Greek apo away and cyno attributed to its toxicity|8.256
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_31695208.mp3|Sixteen teams participated|3.636
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18257020.mp3|Stephen unraveled the bandage carefully|6.096
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_17704656.mp3|Im going to roast some chestnuts|3.288
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_22979846.mp3|Nagy and his wife Jacquelyn Jackie have two daughters Makaela and Lily|10.272
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_35078815.mp3|Then no two elements can have the same best match|4.644
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_26954614.mp3|There are no plans at present to publish a collection of the issues|4.932
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_21204450.mp3|Douglas Lovell played in three of the five Tests without distinction|8.136
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_32642954.mp3|Agriculture and forestry characterize the upper part of this valley|8.136
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_18762118.mp3|At one point some of Bates troops broke and ran|5.016
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19713892.mp3|They used Morning Musumes hit song Love Machine as their entrance theme|7.176
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19648066.mp3|The assistants are all volunteers|2.88
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_68213.mp3|A dog jumps over a hurdle at a competition|5.064
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_214589.mp3|The three man are playing a drum|3.6
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_19613201.mp3|The second compartment is a treatment or flowthrough compartment|3.36
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_25539667.mp3|This led to a series of extensive repairs including external prestressing|6.516
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_39584606.mp3|Their use is called thermography|4.608
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_25546777.mp3|His Hebrew style is classical and pure|5.58
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_31884184.mp3|Roofs are made of stone but sometimes have grass grown on them|5.4
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_37147869.mp3|He is an Honorary Life Member of Whitkirk Cricket Club|6.444
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_137653.mp3|Will it be warmer in Montana|3.216
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_93275.mp3|A young woman packs belongings into a black suitcase|8.424
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_17913966.mp3|To my satisfaction I have been mentioned in the credits for my proficiency|5.904
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_23683530.mp3|This airport is owned by the Commonwealth of Kentucky|4.896
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_25732527.mp3|He was professor of English literature at Lancaster University|10.476
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_31350770.mp3|But they are not engaging|3.78
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_31681671.mp3|The series stars Christian Serratos as the titular character|6.588
/home/ashankwi/commonVoiceData/en/testFiles/common_voice_en_38511176.mp3|Another type of seismometer is a digital strongmotion seismometer or accelerograph|6.768
