path|transcript|duration
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_37102986.mp3|بۇ بەتنىڭ بەزى تەرجىمە قىلىنمىغان يەرلىرى باركەن|6.156
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_31944548.mp3|مۇختەرباي دادىسىنىڭ تىلىغا ۋارىسلىق قىلمىغىنى بىلەن ئىمامنى بەرىبىر ھويلا خىزمەتچىسىدەك كۆرەتتى|6.948
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38217454.mp3|ھازىر شۇ ئورۇندا مۇھەررىر بولۇپ ئىشلەۋاتىدۇ|9.54
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_39261618.mp3|قۇرساق ئاغرىقىڭ بولمىسا تاۋۇز يىيىشتىن قورقما|5.94
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26427593.mp3|يولنىڭ ئىككى تەرىپىدە كىشىلەر كۈچەپ توپا قېزىشاتتى|6.12
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26188241.mp3|ھاۋا بەك سوغۇق، ئۇ سوغۇقتىن قورقىدۇ،|5.616
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26189393.mp3|پۈتۈن تەبىئەت قىشلىق چاپانلىرىنى سېلىپ، ياپيېشىل تون كىيدى|5.76
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_35085222.mp3|ئابلىز سىرتقا چىقىپ كەتتى، كەچتىراق قايتىپ كېلەرمىكىن|5.256
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26202365.mp3|ئاخىرىدا كەيپىياتنى تەڭشەشنى ئۆگىنىۋېلىش كېرەك|4.968
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_37804110.mp3|بەرگەن قول ئالغان قولدىن ياخشى|3.996
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26189578.mp3|تىرىشچانغا ۋاقىت يەتمەس، ھۇرۇننىڭ ئەتىسى تۈگىمەس|4.68
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26189711.mp3|كۈندىن قالدىڭ ئايدىن قالدىڭ، ئايدىن قالدىڭ يىلدىن قالدىڭ|6.66
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33596090.mp3|قىزى يارىسا ئانىسىغا قارىما، ئېشى يارىسا قاچىسىغا|5.364
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26191032.mp3|ئالدىدا قول قىسىشار، ئارقىدا تاش ئېتىشار|8.64
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26298526.mp3|ئوڭ قولۇڭدا قىلىچ تۇتۇپ شىلتىپ ئۇرساڭ سول قولۇڭ بىلەن مال دۇنيا ئۈلەشتۈر|6.696
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38704869.mp3|بىرەر يىرتقۇچنىڭ چاڭگىلىغا چۈشۈپ كەتتىمىكىن، دەپ ئەنسىرەپ ئىزدەپ چىقتىم|6.228
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38378429.mp3|يۇمۇرىستىك تۇيغۇ  كىچىك ئاۋارىچىلىكلەرگە تاقابىل تۇرۇشتىكى ياخشى بىر قالقان|6.12
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_30651429.mp3|بېنزىن، ئىسپىرت قاتارلىقلارنىمۇ ئېرىتكۈچى قىلىشقا بولىدۇ|6.66
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_35098233.mp3|سەھەرنىڭ ھاۋاسى بەكمۇ ساپ|3.78
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33608587.mp3|دېھقاننى ئىنسان قىلىپ تونۇتقان بۇ ئۇلۇغ ئىش غوجامغا ھە دېگەندە ئېغىر تۇيۇلدى|10.476
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_37158496.mp3|ئەپەندىمنىڭ بىر يېزىلىق ئاغىنىسى ئۇنىڭدىن شەھەردىكى دوستىغا خەت يېزىپ بېرىشىنى ئىلتىماس قىپتۇ|7.2
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_37297314.mp3|ئىنسانىيەت تارىخىدىكى ھەر بىر مۆجىزە، ئۇلۇغ ئىشلار كىشىلەرنىڭ قانتەر تۆكۈشى بىلەن ۋۇجۇدقا كېلىدۇ|8.208
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_34020878.mp3|بالىلار مۇئەللىمىگە بىر دەستە گۈل سوۋغا قىلدى|4.248
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_35086227.mp3|تىل ئۆگىنىشتە ئىزچىللىق بەك مۇھىم|4.14
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33877141.mp3|ئۇلارنىڭ ئورنىغا كېلىدىغانلاردىن بولسا دېرەك يوق ئىدى|6.12
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33398913.mp3|ئىللىق شامال گۈللەرنىڭ پۇرىقىنى يىراقيىراقلارغا تارقىتىپتۇ|6.048
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26295987.mp3|كۆڭلى يېرىم بولغان كۈنتۇغدى كۈن بويى غەمكىن يۈرىدىغان بولۇپ قاپتۇ|7.416
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_27264016.mp3|قارىغاي ۋە ئارچىلار قېلىن ھەم پارقىراق كىيىم كىيدى|6.192
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38248842.mp3|قىلىمەن دەپ نىيەت قىلغاندىكىن، ئاخىرغىچە قىلىڭ ئەمدى|4.14
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_35332019.mp3|بۇ دوكلاتنىڭ بىز ئۈچۈن ئەڭ مۇھىم بولغان قىسمى دەل مۇشۇ نۇقتىدۇر|5.508
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_36545690.mp3|ئويلىماي سۆزلىسەڭ، ئاغرىماي ئۆلىسەن|4.5
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38247507.mp3|ھازىر «شېرىن بۇلاق»نىڭ ئاۋازلىق نۇسخىسىنى تور دىسكىسىغا يوللاۋاتىمەن|5.94
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_37427603.mp3|ئۇلار ئۆزگىچە ئۇسلۇب، ئۆزگىچە تۇيغۇ ۋە تەپەككۇرلارنى ھەربىر مىسرالىرىغا سىڭدۈرگەن|9.108
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_37427627.mp3|ھەرقانچە بولسىمۇ ئۇنداق قىلىپ يۈرمەس|4.932
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33483863.mp3|باشقىلارنىڭ ئالدىغا ئۆتۈپ كېتىشنىڭ سىرىباشلاش|5.04
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38626161.mp3|مېنىڭ ئىسمىم ئابدۇۋەلى شەرقى تۈركىستان ئاقسۇ شەھىرىدىن بولىمەن|6.516
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33536907.mp3|بىلىمسىزگە ھال ئېيتقۇچە، ئىچىڭگە سىڭىپ كەتسۇن|5.04
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38383879.mp3|ياخشى ھېكايىكەن، داۋامىنى تېزرەك يوللىۋېتىڭ|5.04
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33991418.mp3|ھالىڭغا بېقىپ ھال تارت، خالتاڭغا بېقىپ ئۇن|4.752
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_27571714.mp3|بىر نامەلۇملۇق ئىككىنچى دەرىجىلىك تەڭسىزلىك ۋە ئۇنى يېشىش ئۇسۇلىنى چۈشەندۈرۈڭ؟|6.048
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33597497.mp3|ئەخمەق بىلەن سۆزلىشىپ ئولتۇرۇشقا ئەخمەقلىق كېرەك|6.372
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_26195004.mp3|ئالدى بىلەن مەشرەپكە قاتنىشىشنى تەلەپ قىلغۇچى يىگىتنى دادىسى يېتىلەپ مەشرەپ سورۇنىغا ئەكېلىدۇ|7.488
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38312672.mp3|ئىلھام ئىككىمىز بېرىپ ئۇلار بىلەن سۈرەتكە چۈشتۇق|5.04
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_33346705.mp3|قايتىپ بېرىپ شاھىڭغا يەتكۈزۈپ قوي كىمكى باشقىلارغا ئۇۋال قىلسا، شۇ كىشى ئاۋۋال زاۋال تاپىدۇ|8.64
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_39189786.mp3|ئاكابىر  ئەشرەپلەرنىڭ ئىرادىسىگە ئىلىم  بىلىمنى پەرداز قىلىپ تۇرۇپ ماسلىشىدىكەن|6.012
/home/ashankwi/commonVoiceData/ug/testFiles/common_voice_ug_38366731.mp3|ئۇيغۇر تىلىدا سىرتتىن قوبۇل قىلىنغان سۆزلۈكلەر زادى قانچىلىك؟|6.696
