و,o
در,deɾ
را,ɾa
تو,to
شد,ʃod
می,mej
بر,bæɾ
همه,hæme
هر,haɾ
چه,t͡ʃa
نه,na
دو,duː
اون,on
ای,aj
دارد,dɑːɾad
کردن,kadan
بعد,boʔd
او,aw
دارم,dɑːɾam
الان,alʔɑːn
انجام,and͡ʒɑːm
تهران,tahɾɒːn
وجود,vod͡ʒuːd
کن,ken
مرد,meɾd
چی,t͡ʃiː~t͡ʃe
بیشتر,beʃtaɾ
ـی,e
بین,ben
داد,dɒːd
سه,se
شرکت,ʃeɾkæt
بچه,betʃe
واقعا,vɒːɣeʔæn
توسط,tavasuti
دختر,doxdeɾ
درست,doɾost
سازمان,sɑːzimɑːn
مهم,mohemm
بهترین,behtaɾin
خونه,xoːnæ
همراه,hamɾɑːh
برنامه,bæɾnɒːmæ
وارد,vɒːɾed
چقدر,t͡ʃeɢædæɾ
تغییر,taɣjiɾ
حضور,hozuːɾ
دوره,davɾa
اعلام,eʔlɒːm
حقوق,hoquq
پسر,peseɾ
منطقه,mintaqa
برابر,baɾɑːbaɾ
مجموعه,mad͡ʒmuʔa
مانند,mɑːnandi
مادر,mɒːdeɾ
نسبت,nesbæt
پر,pæɾ
سمت,samt
پدر,pedeɾ
حتما,hatman
مدت,moddæt
پایه,pɑːja
تحت,tahti
ندارد,nadɑːɾad
واقع,vɒːɣeʔ
تازه,tɑːza
سطح,sath
سیستم,siːstʰem
لحظه,læhzæ
سوال,sawɑːl
پی,pej
وزارت,vezɒːɾæt~væzɒːɾæt
ترجمه,taɾd͡ʒuma
داخل,dɑːxili
ده,dah
نزدیک,nazdik
حمایت,hemɒːjæt
زدن,zadan
گزارش,ɡozɒːɾeʃ
منابع,manɑːbiʔ
تبدیل,tabdil
طرح,taɾh
تلاش,talɑːʃ
زیاد,ziːjɒːd
ویژه,veʒa
ماشین,mɒːʃiːn
کوتاه,koːtɑːh
توسعه,tavsiʔa
سری,saɾiː
عوض,iwaz
نمایش,namɑːjiʃ
جریان,d͡ʒaɾajɔːn
سرعت,soɾʔæt
کلاس,kelɒːs
کمتر,kamtaɾ
بری,beɾej
انرژی,ænæɾʒiː
تعریف,taʔɾif
دستگاه,dastɡɑːh
پا,pɒː
تشکیل,taʃkil
ساده,sɑːda
سبک,sabk
سن,sen
ع,ajn
مراسم,maɾɑːsim
نماینده,næmɒːjænde
خاص,xɒːs
غذا,ɢezɒː
کودکان,kuːdækɒːn
ضد,zed
علت,ellæt
جز,d͡ʒoz
درمان,daɾmɑːn
فعال,faʔɑːl
اصل,asl
ان,en
جلو,d͡ʒelow
محیط,mohiːt
نجات,nad͡ʒɑːt
م,miːm
مقاومت,moɢɒːvemæt~moɢɒːvæmæt
مقدار,meɢdɒːɾ
پروژه,peɾoʒe
بدی,bɪdiː
طلا,telɒː
متن,matn
درجه,daɾad͡ʒa
قطع,qatʔ
ممنون,mamnun
هرگز,haɾɡiz
انتشار,enteʃɒːɾ
کره,koɾe
کشتی,kiʃtiː
خطر,xataɾ
گاز,ɡɒːz
تهیه,tahijja
ش,jeʃ
مستقیم,mostæɢiːm
خودرو,xodɾow
شبیه,ʃabeh
شدید,ʃadid
صنعت,sanʔat
مو,mo
شهری,ʃahɾiː
مناسب,monɒːseb
جمعیت,d͡ʒamʔijjat
طبقه,tabaqa
مقدس,moɢæddæs
پایگاه,pɑːjiɡɑːh
کافی,kɑːfiː
بنابراین,benɒːbæɾiːn
مجبور,mad͡ʒbuɾ
ولایت,velɒːjæt
بالاخره,belʔæxæɾe
شاد,ʃɑːd
توضیح,tavzeh
دچار,dot͡ʃɒːɾ
دیوار,diːvɒːl
وسط,vasat
جشن,d͡ʒaʃn
هیئت,hajʔat
کنکور,koŋkuːr
هشت,haʃt
شرط,ʃaɾt
شک,ʃɑːkk
معاون,moʔɒːven
مقاله,maqɑːla
تخت,taxt
سرد,saɾd
عرض,aɾaz
مرز,maɾz
نقاشی,naqqɑːʃiː
نمایندگان,næmɒːjændeɡɒːn
تکرار,takɾɑːɾ
امسال,emsɒːl
س,sen
سخن,soxæn
سقوط,soɢuːt
فرق,faɾq
ا,æ
ضربه,zaɾba
جایزه,d͡ʒɑːjiza
خان,xɑːn
خشک,xoʃk
سالگی,sɑːlaɡiː
قوی,qaviː
شهریور,ʃæhɾiːvæɾ
پشتیبانی,poʃtiːbɒːniː
شهادت,ʃæhɒːd̪æt̪
بحران,bohɾɒːn
تحصیل,tahsil
مرداد,moɾd̪ɒːd̪
منفی,manfiː
بعدا,baʔdan
توزیع,tʰoʊ̯ziːʔ
حادثه,hɑːdisa
روند,ɾævænd
حلقه,halqa
موقعیت,mavqiʔijat
پرورش,paɾvaɾiʃ
تخریب,taxɾib
تغییرات,tæɣjiːɾɒːt
سخنرانی,soxænɾɒːniː
عادت,ʔɑːdat
نزد,nazd
ول,vel
اعدام,eʔdɒːm
جذاب,d͡ʒazzɑːb
حاشیه,hɑːʃija
بهبود,behbuːd
تاکنون,tɑːkunuːn
حفاظت,hefɒːzæt
سود,suːd
مد,mod
نگهداری,neɡæhdɒːɾiː
آنلاین,ɒːnlɒːjn
ب,b
ساختار,sɑːxtɑːɾ
سالن,sɒːlon
فک,fæk
