path|transcript|duration
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_19541205.mp3|Sandmen practice Omnite a hybrid type of martial arts|6.696
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_22728597.mp3|The Toyotomi clan was then disbanded|4.104
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_18167793.mp3|The movies epic soundtrack uses classical elements mixed with parts of rock and synthetic bass|8.304
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_36067393.mp3|The name has been used in Square games|3.636
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_124943.mp3|The guitar broke and she couldnt play anymore|7.92
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_37514123.mp3|There are four faculties one school and one research institute under this college|6.156
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_54379.mp3|Glass will clink when struck by metal|7.224
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_32126047.mp3|Both the embassy and Chalupa disputed the allegations|5.472
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_18711381.mp3|Confusion over the species and subspecies for classification still exists|6.912
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_28203671.mp3|Coupling may be intentional or unintentional|5.292
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_20969660.mp3|In addition the lunch boxes are themselves called tiffin carriers tiffinboxes or just tiffins|7.464
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_19548712.mp3|Next was reforming the orchestra|3.696
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_15991936.mp3|These homemade sculptures seems interesting for me|4.752
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_397307.mp3|Putting the cart before the horse|6.84
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_25074030.mp3|The annual festival comes in MarchApril|8.748
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_27291502.mp3|Instead of balls other spherical objects can be used such as balloons|5.472
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_19201080.mp3|However they are all destroyed during the chase|5.064
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_35284290.mp3|The winner of each of these four matches will progress to the group phase|5.76
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_23171381.mp3|The text was known to Herodotus Pliny the Elder and Arrian of Nicomedia|6.576
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_22479034.mp3|The following year The English took the city before being repulsed by the French|8.184
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_17289209.mp3|And now shes afraid weve got her all mixed up in mob business|9.264
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_33896599.mp3|He has perfect pitch|2.52
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_19966491.mp3|A number of sages named Atri are mentioned in the various medieval era Puranas|8.424
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_26951009.mp3|Humans themselves are never seen or mentioned|5.004
