path|transcript|duration
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26072488.mp3|Bu koşullar fabrika düzeyindeki işleri başka firmalara yaptırmaya dayalı iş modelinin ortaya çıkmasına zemin oluşturdu|7.776
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_18373495.mp3|Projenin toplam maliyeti yaklaşık altmış milyon avro|6.744
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_35283534.mp3|Ayrı çıkmaya imkân yok…|3.456
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26124335.mp3|Fackenheim’a göre Holokost tarihte önemli bir olaydı|4.86
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_29944061.mp3|Balı parmağı uzun yemez kısmetlisi yer|5.472
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17526417.mp3|Tabii bu her zaman kolay olmuyor|4.536
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26531749.mp3|Çekil yolumdan|2.88
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_27372829.mp3|Arkadaşlarım bilirler diyordu sizi ne kadar beğendiğimi|5.4
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_18350145.mp3|İlk atışı yapan Konstantinos oldu|3.576
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_28870449.mp3|Kadıyla mı iyisin kapıyla mı|5.112
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_22070518.mp3|altı|2.16
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_18748059.mp3|Bu bombaların yüzde yirmi kadarı patlamadı|5.064
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_27646751.mp3|Burada kendi yatağında çocuk gülümsemeleri ile mışıl mışıl bir delikanlı uyuyordu|6.372
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17352355.mp3|Ücretlerin kaldırılması her iki ülkenin de ekonomik gelişimine fayda sağlar mı|6.816
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_25057766.mp3|Beşli otuz gün gözaltında tutuldu|4.068
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_37904234.mp3|Onunla alakası yok|2.916
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17764353.mp3|Yunanistanda ise bu oran yüzde otuz üç|4.344
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_21337700.mp3|Proje dört yıl sürecek|2.784
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17414765.mp3|B bir olan döviz kuru notu ise değişmedi|4.296
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_35903330.mp3|Maria en iyi şekli bulmuştu…|3.528
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17893839.mp3|Bölge zamanla değişti|2.808
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17419221.mp3|Fakat bunu yapmak için ülke sınırını geçmek gerekmedi mi|4.248
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_28859748.mp3|Çünkü ben yaptım|4.68
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_32166273.mp3|Köpeği gezdiren bu adamı bir gün kasapta gördüm|4.428
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_18687905.mp3|Sonuç olarak tarifelerde indirim bekleniyor|4.056
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_19188046.mp3|Bitola Makedonya|2.424
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_24547098.mp3|Saldırıda hasar veya yaralanma bildirilmedi|4.608
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26132677.mp3|Bu yüzden yazabileceğim en kötü şarkıyı yazmaya çalıştım|4.86
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_28889037.mp3|Müslümanın Müslümana yardım etmek borcu|4.968
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_38333292.mp3|Çünkü sizi kölelere bağırırken hizmetkarlara emirler verirken de duymuştum…|7.38
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_36434415.mp3|Gözlerini gördün mü|2.88
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_35854462.mp3|Burdan|1.44
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_36796658.mp3|Burada her şey var|3.348
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17413229.mp3|Yapı Osmanlı temaları da taşıyor|3.576
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_27059134.mp3|Kulağıma öyle rivayetler geliyordu ki gülmek mi lazım ağlamak mı ben de şaşırıyordum|5.436
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_33303075.mp3|Rus ilave etti|2.664
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_30358491.mp3|Senden başka kimsem yok|4.932
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_36784229.mp3|Ne tür bir iş|2.304
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_30461586.mp3|Onlar yaptı|2.376
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_25334305.mp3|Sırbistan memur ve emekli aylıklarına zam yapacak mı|4.968
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26968929.mp3|Hanımefendi|2.088
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17343072.mp3|Sonunda taşınmak zorunda kaldılar|3.264
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_36393473.mp3|Yapabilir misin bunu|2.988
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_27059235.mp3|Defol git buradan|1.98
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_24505931.mp3|Sizce Sırp ekonomisi en büyük sıkıntıyı yılın hangi döneminde yaşayacak ve neden|5.688
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_20993009.mp3|Bu diyalogda siz de yer alacak mısınız|3.576
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_17349839.mp3|Fazilet onun kendi ödülüdür|3.504
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_28090069.mp3|İzin verir misiniz|2.52
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_36393475.mp3|Yüz seksen altı|2.916
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_37179806.mp3|Uyandırdığım için özür dilerim|3.6
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_21084474.mp3|Projelerimizin bitiş tarihi ise on dört Aralık|4.464
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26950760.mp3|Ne demeye çalışıyorsun|4.392
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_37773064.mp3|Fakat aynı renkteki iskarpinleri bir kenara atılmış ve tuzlanmıştı|5.796
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_29202483.mp3|Acele etmeyin… Benim de size söyleyeceklerim var dedi|7.128
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_30674405.mp3|Kayıkta elini cebinden çıkarmıyor parmaklarının arasında hışırdayan zarfı okşuyordu|6.48
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_26334226.mp3|Ameleler bu sefer taşların düştüğü deliğe yaklaşmışlar içeri doğru bakıyorlardı|6.408
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_19480203.mp3|Ancak firmaların da elleri boş durmuyor|2.976
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_21450186.mp3|Yoksa tek gerçekçi ihtimal huzursuz bir şekilde birarada yaşamak mı|6.216
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_19022789.mp3|Organ kaçakçılığı sorunu sizin gündeminizde de yer alacak mı|5.016
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_19188086.mp3|En az ise elli beş yaş üstü işçiler etkileniyor|4.344
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_18634888.mp3|Bazı ikili toplantılar da yapılıyor|3.576
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_19816258.mp3|Bunların karşılanmaları zorunludur|4.512
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_20064231.mp3|Rus salatası da sevilen mezelerden biri|5.088
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_28927391.mp3|Yüzü hep kırmızıydı|3.42
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_37256193.mp3|Soru|3.096
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_31980378.mp3|Bunu izleyin|1.8
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_25461473.mp3|Kim olursa olsun temasa geldiğim herkesi düşman hiç değilse muzır bir mahluk telakki ediyordum|8.496
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_27404112.mp3|Ne yapacağız şimdi|3.456
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_20557370.mp3|Sizce bu durum bir sorun olarak adlandırılabilir mi|5.616
/home/ashankwi/commonVoiceData/tr/testFiles/common_voice_tr_28899560.mp3|Şoför Karı zaten sinirlinin biriydi… Başına böyle bir iş geleceği belliydi|6.156
