path|transcript|duration
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39266302.mp3|بالىلارنىڭ ئاپىسى مىجەزى ئىتتىك ئايال، ئۇنىڭغا مەن گەپ قىلاي|5.4
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27328067.mp3|شاۋقۇننىڭ قانداق زىيىنى بار؟ ئۇنىڭ زىيىنىدىن قانداق ساقلىنىش ۋە ئالدىنى ئېلىش كېرەك؟|8.928
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39294502.mp3|سۇ كېتىدۇ تاش قالىدۇ، ئوسما كېتىدۇ قاش قالىدۇ|4.248
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38318936.mp3|ئۇيغۇر تىلىدىكى ئېلېكتىرونلۇق خەت ساندۇقى ئىشلەتسە نېمىدېگەن ھۇزۇر|6.012
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39429728.mp3|مەن سەپەر ئۈستىدىكى ئادەممەن، مېنىڭدە ئىسسىق جانلا بار|5.148
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_33545826.mp3|ئۇ ئۇيغۇرچە، قازاقچە، ئۆزبېكچە، تاتارچە، رۇسچە ھەتتا خەنزۇچىمۇ سۆزلىيەلەيدۇ|8.136
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38326179.mp3|ئۈنۈمدار كىشىلەرنىڭ يەتتە ئادىتى|4.248
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27486306.mp3|يەنە ئاددىي كىشىلەرنىڭمۇ مۇھەببىتى بار|4.824
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38519753.mp3|يەرلىك ئۇيغۇرلارغا نىسبەتەن، بۇ بىر «توخۇ سۈتىدىن باشقا ھەممە نەرسە تېپىلىدىغان بازار» ئىدى|6.768
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38519842.mp3|ۋىجدان قۇياشىنىڭ قارايغان كۈنى ئەقىدە ئەھلىنىڭ قىيامىتى|5.4
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27326941.mp3|تەبىئەت بىلەن ھاياتلىق ئوتتۇرىسىدىكى ئاجايىپ مەنزىرىلەر ئادەمنى ھەيرانلىقتىن مەستخۇش قىلىدۇ|9.216
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34483438.mp3|يورۇقلۇق بىرخىل دولقۇن، شۇنىڭ بىلەن بىر ۋاقىتتا، يەنە بىر خىل زەررىچىدىن ئىبارەت|5.976
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39258898.mp3|بۇنى ئاڭلاپ ئۇنىڭ قۇيقا چاچلىرى تىك تۇرۇپ كەتتى|5.328
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39508744.mp3|مەسچىتنىڭ ئىككى يان تەرىپىگە ئۈچتىن ئالتە ھۇجرا چىقىرىلغان|5.688
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34931787.mp3|دەرەختىن سارغايغان يوپۇرماقلار يەرگە چۈشۈۋاتىدۇ|6.408
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_37306669.mp3|ئانا تىلدا ئالغان ھۇزۇرغا ھېچنېمە يەتمەيدۇ كېلىڭلار، ئانا تىلىمىزغا بايرام قىلىپ بېرەيلى|10.548
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39431956.mp3|تىرىك قېلىپ، تېرىقچىلىق قىلىپ يۈردى|3.708
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38519311.mp3|ياپيېشىل، گۈزەل يايلاقلاردا توپتوپ چارۋىلار ئوتلاپ يۈرىدۇ|5.508
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_33546502.mp3|كۆپ خوتۇن ئالغاننىڭ ياقىسى پىت، كۆپ ئەرگە تەگكەننىڭ كۆڭلىكى چىت|7.308
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38326355.mp3|يەنە بارماق ۋەزىنلىك بىر تۈركۈم مۇھەببەت لىرىكىلىرىنى يېزىپ چىققان|5.652
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_33666090.mp3|مىكروسكوپنىڭ ئەينەك سىلىندىرىنىڭ ئىككى ئۇچىدا بىر گۇرۇپپا لېنزا بولىدۇ|7.596
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27210457.mp3|سىنۇس تېئورېمىسى بىلەن كوسىنوس تېئورېمىسى ئەمەلىي ئۆلچەشلەردە كەڭ قوللىنىلىدۇ|7.128
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_33695467.mp3|توخۇ چىللىمىسىمۇ تاڭ ئاتىدۇ|4.248
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39250942.mp3|مۇنداق ئىشنى ئەسلى باشقىلار قولىغا ئالسا بولاتتى|5.076
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34967765.mp3|شار كوردىنات سىستېمىسى جۇغراپىيە ۋە ئاسترونومىيەدە كەڭ قوللىنىلىدۇ|6.66
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39276403.mp3|ئادەم ئالدى بىلەن ئۆزىنى قەدىرلەشنى بىلىشى كېرەك، ئاندىن باشقىلارنىڭ قەدىرلىشىگە ئېرىشەلەيدۇ|7.056
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34967358.mp3|جۈملىنىڭ ئەگەشمە بۆلەكلىرى تولدۇرغۇچى، ئېنىقلىغۇچى، ھالەت قاتارلىقلاردۇر|7.704
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38310644.mp3|يەنە مىڭ سۈرىيەلىك مۇساپىر لىۋانغا كىردى|5.148
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39281023.mp3|ئەگەر شەپقەتلىك رەپىق بولمىسا، يالغۇزلۇق ياخشىراق|3.888
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38319115.mp3|لېكىن، مەن قورققۇچىلارنىڭ جاسارەتسىزلىكى زوراۋانلىق ۋە خورلۇقنى تېخىمۇ ئېغىرلاشتۇرۇۋېتىدۇ دەپ قارايمەن|9.864
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_33534153.mp3|ئۇنداق بولسا يۈرە گۈللۈككە بېرىپ پاراڭلىشايلى|5.688
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27738941.mp3|كۆزلىرىنى يوغان ئېچىپ زەن سېلىپ قارىسا، قوزا ئىكەن|6.444
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39261339.mp3|تەرەپ  تەرەپتىن ئاقلاش كامپانىيەلىرى ئېچىشقا، ئورنىنى تىكلەش ئۈچۈن غەۋغاغا چۈشۈپ قالغان|6.516
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27228283.mp3|ئۆيدىكىلەر نەچچە كۈن سۆزلەپ بېقىپ توختىدى|5.688
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39212760.mp3|ئاقساقاللىق ياكى ئاتىكارچىلاردىن كاتىپ ياكى كاتىبە تاللىغىنىممۇ يوق|6.372
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39508354.mp3|ئەسلى سىلىق سۆز بىلەنمۇ بۇ مەسىلىنى توغرا بىر تەرەپ قىلغىلى بولاتتى|5.868
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38519055.mp3|ياز كەلگەندە تەبىئەتتە قانداق ئۆزگىرىشلەر بولىدۇ؟|4.356
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34149634.mp3|بەزى ئىملانى ھېسابقا ئالمىغاندا بەك ياخشى يېزىپسىز تەربىيەۋى ئەھمىيىتى بار تېما يوللاپسىز، رەھمەت|8.64
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38368209.mp3|ياقتۇرۇپ ئوقۇغىنىڭلار ئۈچۈن كۆپ رەھمەت|5.868
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38536931.mp3|زالدىكى بىر خادىم «كىمنى ئىزدەيسىز؟ » دەپ سوراپ قالدى|5.832
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38537091.mp3|ئۇ خۇشاللىقىدا دوستى ئېيىقچاقنى چىڭ قۇچاقلىۋاپتۇ|4.716
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38519545.mp3|پۈتۈن كىتاب جەمئىي ئوتتۇز پارچە بولۇپ، ئىنتايىن سۈپەتلىك بېسىلغان|5.076
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39274042.mp3|بۇنى ئاڭلىغان مايمۇنلارنىڭ خۇشاللىقتىن گۈلقەقەلىرى ئېچىلىپ كېتىشتى|5.904
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39245779.mp3|ھەقىقەتنى ئويلايدىغان قەلبتىن، ئۇنىڭغا قۇلاق سالىدىغان ئاڭلىقلىقتىن، ئۇنى كۆرۈپ يېتەلەيدىغان پاراسەتتىن ئەسەر قالمىغىلى تۇردى|9.108
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_35081139.mp3| ئۇلار قەيەردىن كېلىۋاتقاندۇ،  سورىدى ھاجىم سەل جىددىيلىشىپ|6.048
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38285765.mp3|ۋەيران بولغانلىقىنى ئېلان قىلىشنىڭ خېلى كۆپ زىيىنى بار|5.508
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27584036.mp3|داننى بۇ يەردىن يەپ، باشقا يەردە تۇخۇملاپتۇ|4.896
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39295792.mp3|ئۇيغۇرچىدا بالىدەك گەپ قىلىش مېتافورى فىزىيولوگىيەلىك كىچىك بالا كۆرگەنلىكنى كۆرسەتمەيدۇ|6.948
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38204120.mp3|شۇنىڭ بىلەن، شەنبەيەكشەنبە كۈنلىرىمۇ دەم ئالماسلىق ھەققىدە پەرمان چۈشۈرگەنمىش|7.776
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39500094.mp3|دىققەت تارتارلىق تەرىپى بولسا، بۇ ئىشنىڭ قانداق بولۇپ بىر جەمئىيەتتە ئادەت تۈسىنى ئالالىغانلىق مەسىلىسىدۇر|9.036
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39241643.mp3|خوپ، جەزمەن دېگەنلىرىدەك قىلىمەن|5.076
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27107278.mp3|بۇ تۇرالغۇ جاي شارائىتى ناھايىتى ياخشى بولۇپ ئالىي دەرىجىلىك خان سارايلاردىن قېلىشمايتتى|10.26
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39298174.mp3|ئوتنى ئۆچۈرۈۋېلىشقا ئۇرۇنۇپ كۆرگەن بولسىمۇ، لېكىن ئوت ئەدەپ كەتكەنلىكتىن ھېچقانداق ئىلاج قىلالمىدى|7.2
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38246835.mp3|تارىم دەرياسى  ئىچكى قۇرۇقلۇق دەرياسىدۇر|5.04
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39297866.mp3|ئەل  خالايىق ئەگەر كۆيدۈرسە ئوت، يوق ئۆچۈرمەكتىن بۆلەك چارە ئاڭا|6.12
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38259962.mp3|ياخشى يېزىلىپتۇ دېمىسىمۇ گاھىدا ئۇنتۇپ قالىمىز چوڭ ئۆينى|6.588
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_26189010.mp3|ھەممە ئادەم جىمىپ قالدى|2.628
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27265660.mp3|ھېچكىم ئۇنىڭ نەگە كەتكەنلىكىنى بىلمەيدۇ|4.392
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39305805.mp3|سەن ئۆزۈڭچە مەن كادىرمەن، نەگە بارسام شۇ يەردە يەيدىغىنىم بار دەپ ئويلامسەن؟|7.956
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38404942.mp3|ئۇنىڭ سەنئەتتىكى قابىلىيىتىنىڭ يېتىلىشىگە دادىسىنىڭ تەسىرى زور بولغان|6.696
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39263920.mp3|ئەندىرىمەي تۇر بۈگۈن ئاشىق  مەشۇقلارنىڭ دەۋاسى چىقىپ قالدى، بۇنىڭغا خاتىمە بېرىدىغان پەيتى كەلدى|7.92
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27590401.mp3|ئەدەبىي ئەسەرلەرنى ئوقۇش مەدەنىيەت جۇغلاش، ئەقىل جۇغلاش، ھېسسىيات جۇغلاش، بىلىم جۇغلاش جەريانىدۇر|7.2
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39305993.mp3|قېنى كۆپچىلىك، يىگىت بولساڭ سۆزۈڭدىن يانما، دەپتىكەن|5.688
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39270567.mp3|قىشتا كىشمىش پىشماسمىش، پىشسىمۇ كىشى يېمەسمىش|5.616
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39298197.mp3|ئۈچىنچى، داستىخان تاشلاش بۇ «كىچىك چاي» ياكى «رەھمەت چېيى» دەپمۇ ئاتىلىدۇ|5.832
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_26424732.mp3|تۈگىدى، قانداق، قىزىقمىكەن؟|4.176
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38229763.mp3|قۇرۇلما ئۇلارنىڭ خۇسۇسىيىتى ۋە ئىقتىدارىغا تەسىر كۆرسىتىدۇ|6.876
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27496716.mp3|دەل مۇشۇ ئادەم بىزنى قۇتقۇزۇپ قالدى|3.78
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38285549.mp3|ئىشتىن قاچان چۈشەرمەن، زېرىكىپ كەتتىم|5.976
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38519376.mp3|يەنى، ئۇ، مىللەت، ماكان ۋە زامانغا قاراپ ئوخشاش بولمايدۇ|5.688
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39261291.mp3|تەخسىكەش مۇناپىقلار ئارقا  ئارقىدىن يۇرت سورىدى نەتىجىدە، خانىدانلىق خانىۋەيران بولدى|8.568
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34483299.mp3|دۇنيالىق ھۆرمەت ۋە شان – شەرەپلەر بولسا مىسالى كۆزنى يۇمۇپ ئاچقۇچە يوقاپ كېتىدىغان ئەرزىمەس ئالۋۇندۇر|9.252
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_35324924.mp3| بولىدۇ، ماقۇل، شۇنداق بولسۇن|5.076
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39300530.mp3|فېليەتوننىڭ سۆزى ئاز، لېكىن مېغىزى توق|5.076
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38233047.mp3|ئەڭ قىممەتلىك نەرسە سىز ئىگە بولغان نەرسە ئەمەس، بەلكى سىزگە ھەمراھ بولغان ئادەم|8.748
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39384184.mp3|قېرىپ كەتكەنلىكىدىن ماڭالمايدىغان بوۋايلاردەك مۈكچەيگەن|4.608
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39255590.mp3|ئوبزورچى يالقۇن روزى|3.276
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_28046215.mp3|تونۇشىمىزنىڭ تونۇشى، دوستىمىزنىڭ ئاغىنىلىرى چىقىپ،|6.012
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39246493.mp3|قېلىن قوۋزاقلىرى بوشاپ، قات  قېتى قۇرت  قوڭغۇز، چۈمۈلىلەرنىڭ ئۇۋىسىغا ئايلانغان|6.948
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39294592.mp3|شۇ سەۋەبتىن پەرزەنتلىرىمىزگە دىنىمىز ۋە تىلىمىزنى ئۆگىتىش جەھەتتە نۇرغۇن قىيىنچىلىقلارغا دۇچ كەلدۇق|7.236
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39306451.mp3|مېنى ئېلىپ قالماقچى بولغىنىڭلارغا مىڭ رەھمەت|4.32
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39342760.mp3|سەن بۇ نەرسىنى نەگە ئەكەتمەكچى بولۇۋاتىسەن؟|4.86
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_33666393.mp3|فوسفور كۆيگەندە قانداق يالقۇن چىقىرىدۇ؟|4.644
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39248578.mp3|ئۇ موللا ئادەم بولغانلىقى ئۈچۈن، ئېتىز  ئېرىق ئىشلىرى بىلەن كېلىشەلمىدى|6.228
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39241747.mp3|ئاكام مېنى كىچىكىمدە دائىم «سېنى ئابدالدىن سېتىۋالغان» دەپ تېرىكتۈرەتتى ئابدالنىڭ مەنىسى قەلەندەر، دىۋانە، تىلەمچى|10.404
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38217255.mp3|نېمە دېسەم بولار زادى؟|3.348
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38624017.mp3|ئۆي كۆچكەندەكلا چىقتى بۇ ئەخلەتلەر توۋا نېمانداق جىق|5.256
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27467966.mp3|مۇسابايوفلار غۇلجىغا يېڭىلىق ئەكەلگۈچى، ئۇيغۇر ھاياتىغا دۇنيا يېڭىلىقلىرىنى ئېلىپ كىرگۈچىلەر|8.64
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_39327262.mp3|ھېلىمۇ ياخشى سېغىنىش ئاۋازسىز بولۇپ قاپتىكەن|4.248
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_38368243.mp3|ئۇنداق قىلىنمىسا، قائىدىگە خىلاپلىق قىلىنغان دەپ ھۆكۈم قىلىنىدۇ|6.48
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_34967820.mp3|يورۇقلۇق ئوپتىك زىچ مۇھىتتىن ئوپتىك شالاڭ مۇھىتقا چۈشكەندە، تولۇق قايتىش يۈز بېرىشى مۇمكىن|8.028
/home/ashankwi/commonVoiceData/ug/trainFiles/common_voice_ug_27587252.mp3|چوقۇم خۇشاللىقىنى ئىچىگە سىغدۇرالماي قالىدۇ دەپ ئويلىغان ئىدىم|6.336
