равняются,rɐvnʲæjʊt͡sə
одиночный,ɐdʲɪnot͡ɕnɨj
помирал,pəmʲɪraɫ
битей,bʲɪtʲej
роёв,rɐjɵf
разлетается,rəz⁽ʲ⁾lʲɪtajɪt͡sə
возвращалось,vəzvrɐɕːaɫəsʲ
законопроект,zɐkonəprɐɛkt
цинкуем,t͡sɨnkujɪm
ленью,lʲenʲjʊ
нежитью,nʲeʐɨtʲjʊ
скатится,skatʲɪt͡sə
отъем,ɐtjem
высушивавшийся,vɨsuʂɨvəfʂɨjsʲə
чубу,t͡ɕubʊ
рублёвках,rʊblʲɵfkəx
присутствовали,prʲɪsut͡stvəvəlʲɪ
способствовал,spɐsopstvəvəɫ
уменьшала,ʊmʲɪnʲʂaɫə
пятнашек,pʲɪtnaʂɨk
пронзило,prɐn⁽ʲ⁾zʲiɫə
просигналят,prəsʲɪɡnalʲət
разочаровывавший,rəzət͡ɕɪrovɨvəfʂɨj
сокрытий,sɐkrɨtʲɪj
каноне,kɐnonʲe
повозитесь,pəvɐzʲitʲɪsʲ
полиомиелиты,polʲɪomʲɪjɪlʲitɨ
периодичный,pʲɪrʲɪɐdʲit͡ɕnɨj
припишись,prʲɪpʲɪʂɨsʲ
пулемётам,pʊlʲɪmʲɵtəm
соединителем,səjɪdʲɪnʲitʲɪlʲɪm
обоймите,ɐbɐjmʲitʲe
каймана,kɐjmanə
фанатом,fɐnatəm
лесоэкспортам,lʲesɐɛkspərtəm
балластах,bɐɫastəx
различаться,rəz⁽ʲ⁾lʲɪt͡ɕat͡sːə
накрыло,nɐkrɨɫə
вмонтировало,vmɐnʲtʲirəvəɫə
соткёте,sɐtkʲɵtʲe
предвещай,prʲɪdvʲɪɕːæj
обсессии,ɐpsɛsʲːɪɪ
дотягиваешь,dɐtʲæɡʲɪvəjɪʂ
выбросилось,vɨbrəsʲɪɫəsʲ
обручившийся,ɐbrʊt͡ɕifʂɨjsʲə
урочище,ʊrot͡ɕɪɕːe
плащаницу,pɫəɕːɪnʲit͡sʊ
облетайте,ɐblʲɪtajtʲe
продавил,prədɐvʲiɫ
командировавший,kəmənʲdʲɪrɐvafʂɨj
удавливайте,ʊdavlʲɪvəjtʲe
фуг,fuk
думцы,dumt͡sɨ
продекламируешь,prədʲɪkɫɐmʲirʊjɪʂ
пароходиках,pərɐxodʲɪkəx
китайкам,kʲɪtajkəm
отвращаешь,ɐtvrɐɕːæjɪʂ
уведёт,ʊvʲɪdʲɵt
тавро,tɐvro
примиряйтесь,prʲɪmʲɪrʲæjtʲɪsʲ
отстранишься,ɐt͡sstrɐnʲiʂsʲə
ухитрись,ʊxʲɪtrʲisʲ
располагая,rəspəɫɐɡajə
опалубкою,ɐpaɫʊpkəjʊ
эврика,ɛvrʲɪkə
высвечивать,vɨsvʲet͡ɕɪvətʲ
белорусом,bʲɪɫɐrusəm
торгами,tɐrɡamʲɪ
долота,dəɫɐta
разграблением,rəzɡrɐblʲenʲɪjɪm
завещай,zəvʲɪɕːæj
адсорбирующий,ɐt͡ssɐrbʲirʊjʉɕːɪj
подсолнухи,pɐt͡ssoɫnʊxʲɪ
