path|transcript|duration
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_25217216.mp3|The book received no reviews and its reception was a slight disappointment for Lewis|9.36
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_37872291.mp3|It is the largest cable company in Iowa and second largest in Illinois|7.452
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_689575.mp3|Come out of there|5.088
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_32653567.mp3|Fiji qualified two swimmers in two events|4.536
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_175186.mp3|or a man into the wind|3.768
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_19673779.mp3|They favored observing the world drawing from life and creating visual essays|8.784
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_27554178.mp3|For technical reasons the payload was launched upside down|4.716
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_158508.mp3|Congressman Aaron is here to see you|2.184
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_20659776.mp3|McDull tries very hard to fulfill his mothers wishes but always fails|5.784
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_26347326.mp3|This building is home to the Economics department Upward Bound and The Solution Center|7.308
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_18814347.mp3|The Ambrose Swasey Library also served the Saint Bernards Institute|6.912
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_18981412.mp3|It is unknown whether Mahirs website existed prior to the broadcast of these sketches|6.288
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_76897.mp3|The winds curiosity was aroused something that had never happened before|5.184
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_20199793.mp3|Because of the economic downturn peoples lives changed drastically|5.136
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_193221.mp3|A group of hikers are climbing up a snowy mountain|6.792
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_27523645.mp3|She thereby ruins the relationship due to her paranoia|4.716
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_17285835.mp3|Be right there boss|3.048
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_23786783.mp3|Below it is the second tier of leagues covering north and south Wales|6.696
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_18489379.mp3|Several people are awaiting trial including John|4.776
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_176527.mp3|To be continued|2.856
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_21021466.mp3|He died in Toronto two years later|4.944
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_23417349.mp3|Behind the main dome there is a smaller dome|5.592
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_20038776.mp3|It is also the home of the lines Carriage and Wagon department|6.84
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_673730.mp3|A basketball player in blue is attempting to block a player in white during a game|5.976
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_31560476.mp3|The two main exhibitions are called The Age of Agriculture and Before Machines|6.876
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_621646.mp3|The case was puzzling to the old and wise|5.136
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_37422019.mp3|Hence C naturally prefers to invoke the jurisdiction of State Ys courts|6.264
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_20253691.mp3|Its boundaries are coextensive with the administrative division of Upper River|7.248
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_32729065.mp3|His death went unreported for several days|4.392
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_36932651.mp3|The archbishop resolved to beard the monster in his den|6.84
/home/ashankwi/commonVoiceData/en/clips/common_voice_en_25092648.mp3|The Band continued to record on their own for Capitol Records|5.292
