path|transcript|duration
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_26541812.mp3|بۆرىنىڭ ئېغىزى يېسىمۇ قان، يېمىسىمۇ قان|5.868
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_36992940.mp3|مۇۋەپپەقىيەت  ھەر كۈنى بىر پىرسەنت ئىلگىرىلەش دېمەكتۇر|6.48
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_37248024.mp3|بۈگۈن چۈشتىن كېيىن قىزىپ قالدىم|6.192
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_34480524.mp3|كانادا، ئامېرىكا، مېكسىكا، كولومبىيە، پېرۇ، بىرازىلىيە، ئارگېنتىنا|8.208
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_33452504.mp3|كۆڭلۈمدىكىنى دېسەم، ئۇنى بېرىۋەتسەم، قېيناتامنى تاشلىۋەتكەندەك بولۇپ قالىدىكەنمەن|6.624
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_26201503.mp3|يەنە تېخى ئۇنىڭ خىللىرى كۆپىيىپ، نەچچە ئون خىلغا يېتىپتۇ|6.912
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_33558484.mp3|قىزىل رەڭنى ئېرەن دەرىخىگە بېرىۋېدى، قىپقىزىل ئېرەن يوپۇرماقلىرى پوچتا ماركىلىرىغا ئوخشاپ قالدى|8.64
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_35081777.mp3|كىشىنىڭ يۈرىكىدىكى ئۆزگىچە تۇيغۇلارنى گۈزەل شېئىرىي مىسرالار بىلەن ناھايىتى يارقىن ئىپادىلەپ بېرىپتۇ|9.0
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_37161263.mp3|ئاۋاز ئىئانە قىلىشنى كۆپرەك تەشۋىق قىلىپ قويساڭلار كۆپ كىشىلەر بۇنى بىلمەيدىكەن|9.648
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_33376442.mp3|نېمىلا قىلغان بىلەن ئوغۇللارنىڭ چوڭى ئەمەسمۇ|5.256
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_39210433.mp3|بۇ تەۋەللا  تەبەررا ئىدىيەسىدە مۇھەببەت  نەپرەتنى ئېنىق قىلىپ كەسكىن تۇرالايدىغان ئويغاقلارنىڭ تۇتۇمى|9.18
/home/ashankwi/commonVoiceData/ug/clips//common_voice_ug_34920554.mp3|سىرتتىكى ۋاراڭچۇرۇڭ تېخى بېسىقمىدى|3.708
