path|transcript|duration
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30429419.mp3|Dlatego moim zdaniem u nas w Unii nie ma pośpiechu|5.4
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_25991332.mp3|Drugim aspektem jest system mobilności wirtualnej która uzupełnia mobilność terytorialną|7.128
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_21598231.mp3|Niezwłocznie prawie po nim ukazała się stara kobieta w podartych trzewikach|5.664
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_26196945.mp3|Traktat z Lizbony daje w takiej sytuacji prawo państwom do nawiązania wzmocnionej współpracy|8.1
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_21300381.mp3|— Ja tam nic nie wiem…|2.376
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30433708.mp3|Przejrzystość pozwala jednak budować i utrzymywać zaufanie i ułatwia kontrolę ryzyka|6.516
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_27404132.mp3|Sprawozdanie słusznie docenia olbrzymie wysiłki czynione w dziedzinach wzrostu i konwergencji|10.26
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30701263.mp3|Ogólnie rzecz biorąc zarządzanie programem Galileo znajdzie się w politycznej gestii Parlamentu i Rady|8.1
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_27670143.mp3|A my Holenderska Partia Wolności całkowicie się z nim zgadzamy|4.608
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30655044.mp3|Dziękuję państwu za współpracę|2.484
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_21731445.mp3|O już się zbliża|2.28
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30717608.mp3|I sądzę że skutecznie doprowadziliśmy do usunięcia tego zagrożenia|5.94
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_26199539.mp3|będą skuteczne tylko jeśli wprowadzimy je wspólnie na szczeblu europejskim|6.408
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_25889635.mp3|To wielka dojrzałość|3.492
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30437987.mp3|Zważywszy na konstrukcję instrumentu finansowania współpracy na rzecz rozwoju luka legislacyjna była nieunikniona|8.028
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_26237442.mp3|Chciałbym zadać proste pytanie|3.024
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_25449734.mp3|Oparłem głowę na drżących rękach i zacząłem myśleć|3.996
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_25982370.mp3|Możemy jedynie mieć nadzieję że negocjacje potoczą się we właściwym kierunku|6.336
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_26642599.mp3|Parlament Europejski nie wysłał jasnego sygnału wsparcia dla procesu ratyfikacji w pozostałych państwach członkowskich|8.316
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_37362046.mp3|Uznaje istotne sukcesy Afgańczyków i identyfikuje niedociągnięcia polityki afgańskiej i międzynarodowej|7.848
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_21622984.mp3|Porwała go i pobiegła do komory|3.576
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_38518507.mp3|Przede wszystkim gratulujemy sobie że spotkaliśmy się na tej sali|3.888
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_24709314.mp3|Pociemniało mu w oczach chciał uciec i powiedzieć przez służącego że jest chory|5.544
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_36668702.mp3|Kwestie współpracy regionalnej i agendy europejskiej są wzajemnie powiązane|4.86
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_26159352.mp3|Byłem na miejscu po tym jak tsunami nawiedziło Sri Lankę a później Indonezję|7.308
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30543164.mp3|Powiedział że uważa go za interesujący|3.348
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_28745057.mp3|Jeżeli państwo zapomnieli to agencja była jednym z elementów pierwszego pakietu Erika|6.624
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_20826656.mp3|Henry przyjrzał się towarzyszowi ze współczuciem|4.344
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_20818625.mp3|Nie mam miejsca pośród żywych i nie mam miejsca pośród umarłych…|4.776
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_20897044.mp3|Czuł jakby mu kto wbijał w nie tysiące szpilek|4.728
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_27517879.mp3|Ponadto gdy migracja przybiera skalę powtarzam  inwazji musimy z tym problemem się zmierzyć|9.36
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_30429233.mp3|Europejska Agencja Bezpieczeństwa Sieci i Informacji|4.608
/home/ashankwi/commonVoiceData/pl/trainFiles//common_voice_pl_27003852.mp3|Bo na tej stacji boi się Maciuś bilet kupować|6.948
