path|transcript|duration
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_25024115.mp3|Ik vermeld dan specifiek twee domeinen|3.06
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_25003031.mp3|Integendeel in de laatste onderhandelingsronde stelden beide partijen zich zelfs weer harder op|6.84
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_22750101.mp3|We moeten de aanvraag en rapportageprocedures vereenvoudigen|5.208
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_20527230.mp3|Ze is nu multimiljonair|3.888
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_20162090.mp3|De schuur stond aan de rand van het bos|3.936
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_32363133.mp3|Daarom ben ik verheugd dat we deze discussie voeren|3.996
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_31148677.mp3|Slechts incidenteel geeft de rapporteur blijk van enige realiteitszin|6.66
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_24718567.mp3|Ziehier de kern van mijn commentaar|3.888
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_32853128.mp3|Voor massaproductie daarentegen is geavanceerde technologie vereist|5.616
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_21895657.mp3|De veiligheid mag niet worden ondermijnd|3.72
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_24633524.mp3|Want wat technologisch mogelijk is gebeurt|5.616
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_26543637.mp3|Wij moeten zelf beginnen met onze instituties te hervormen zelf ons te democratiseren|6.48
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_24715634.mp3|De inzet van troepen geschiedt volgens plan|3.708
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_25233970.mp3|Zoals u zeer juist hebt benadrukt gaat het hier niet om harmonisering|4.608
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_21263331.mp3|De doos met ijsjes was bijna leeg|3.336
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_28722765.mp3|De crisis heeft duidelijk gemaakt hoe zeer onze economieën met elkaar verweven zijn|6.768
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_23496733.mp3|Men heeft echter niet kunnen bevestigen dat er sprake is geweest van criminele handelingen|7.056
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_22750062.mp3|Maar dat zal niet gebeuren|2.952
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_24705624.mp3|U antwoordde toen zeer snel waarvoor onze dank|3.888
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_22777017.mp3|Ik heb vandaag drie boodschappen|3.336
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_23834397.mp3|Volgens ons kunnen de twee systemen naast elkaar bestaan|3.866
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_26571237.mp3|Europa is een familie van naties die zijn gegrondvest op ons christelijke erfgoed|4.716
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_23810475.mp3|Iedereen die dat niet wil hoeft niet|2.736
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_17727223.mp3|Hij is onherkenbaar met zijn baard en nieuwe bril|3.384
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_18301638.mp3|Het huis is afgebrand door een pan die nog op het vuur stond|5.232
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_32247578.mp3|Wij zijn van plan het actieplan rond drie prioriteiten te construeren|6.876
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_19002136.mp3|Het zonnetje schijnt|3.48
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_20535472.mp3|De doodskist was uitgebreid versiert|3.648
/home/ashankwi/commonVoiceData/nl/clips/common_voice_nl_23367662.mp3|Hetzelfde geldt voor chemicaliën en bestrijdingsmiddelen|4.128
