path|transcript|duration
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39092872.mp3|網交換する|2.052
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39422300.mp3|今日は暑かったのでアイスを食べて体を冷やしました。|5.328
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38928147.mp3|桂君が手まねきをしながら、ささやき声で一同にさしずしますと、たちまち七人の少年の姿が消えてしまいました。|7.848
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36368543.mp3|聞きなれないカタカナでごまかさないでくれ|2.664
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39004373.mp3|人間は、どうして一日に三度々々ごはんを食べるのだろう|3.888
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39024034.mp3|長野県立科町|3.312
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38901632.mp3|ちょうど、グラムダルクリッチは、そのとき、部屋の向うの方に行っていましたし、王妃は驚きのあまり、私を助けることを忘れていられました。|9.18
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38985273.mp3|イワンが神様の名を口にするかしないかに、小悪魔は水に落ちた石のように地べたへ消えてしまいました。そして後には小さな穴が一つだけ残りました。|10.08
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39020120.mp3|暗闇の中に入っていったまま、誰も戻ってこなかった。それっきり。|4.428
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_31219896.mp3|絶対矛盾的自己同一的現在の意識面において世界は動揺的である。|7.668
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39073768.mp3|音声が幅広くコンピュータで利用されるようになった最も重要な技術基盤はどれか。|6.948
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36365899.mp3|すぐにバッテリー切れるようになった|3.204
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_27697938.mp3|圧巻とはまさにこのことを言うんだろうな|5.796
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_37174215.mp3|世界の底に一を考えることもできない、多を考えることもできない、|7.632
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39044764.mp3|石川県白山市|2.7
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36338182.mp3|高知県日高村|2.52
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39102806.mp3|寄贈した発話件数を記入せよ。|3.996
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_27747678.mp3|我々の自己意識は、過去と未来とが現在の意識の野において結合し、それが矛盾的自己同一として動き行く所にあるのである。|10.296
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_27695962.mp3|動物の共同作業というものも、本能の内的応化によって支配せられているのである。|8.28
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39084937.mp3|昨日は何をしていましたか。|3.06
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39035733.mp3|福島県会津若松市|3.024
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38874769.mp3|ガンビアの首都はバンジュールである|3.42
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_31755840.mp3|そこに生物的種との区別があるのである。|5.148
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36371329.mp3|作られたものから作るものへとして作用が自己矛盾的に対象に含まれる時、|7.38
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39561797.mp3|自己教師あり学習モデルについて勉強する|5.976
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38898844.mp3|そうすれば、中に人間がはいっていなくても、じゆうに円盤を飛ばすことができるし、地球のありさまを、写真にとることもできるわけだからね。|8.46
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38923234.mp3|ふたりがおもてをこつこつとたたくと、おかみさんが戸をあけて出てきました。そして、ヘンゼルとグレーテルの立っているのを見ると、|8.136
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39056114.mp3|透明な息|3.78
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39422994.mp3|岐阜県関市|2.664
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39090504.mp3|グラス|1.656
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39077607.mp3|そこに山があるから|2.556
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36359630.mp3|そちらから頼んでもらえないか|2.988
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39006379.mp3|中庭にカランと音が響いて、棒はゴミの山に帰っていく|4.788
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39033305.mp3|岩手県宮古市|2.088
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38946583.mp3|そして、私から一マイルとは離れていない眼の前に見えて来たのです。私はさっそく、望遠鏡を取り出して眺めました。|7.38
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38867278.mp3|まるで人が泳いでいるような波でした。しかし、ただ、そういう形の波が見えるばかりで、人間の姿は、少しも目にとまらないのです。|9.756
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_20934737.mp3|不思議なくらい、美しく彩られた道を行く。|4.824
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_25410625.mp3|では、さようなら。|2.268
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39102106.mp3|生茶|2.772
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_32433965.mp3|無限に動き行く世界を一つの現在として把握するのが思惟の立場である。|7.308
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_25363258.mp3|それがサテンのドレス？|5.22
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_37011161.mp3|行為的直観的に実在を把握し行く所に、客観的知識が成立するのである。|9.72
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36353959.mp3|ダメでもいいからやってみる|2.34
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_25731738.mp3|なんか話したいことあったんじゃないの。|4.176
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36335216.mp3|脂肪ゼロのヨーグルトにジャム入れて食べる|3.996
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_21853976.mp3|この町の東側は全部森です。|3.744
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39307766.mp3|山形県鶴岡市|3.528
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_36337664.mp3|ルワンダの首都はキガリである|4.5
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39025072.mp3|はしもとかーーんな|2.556
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38904017.mp3|彼という人間をながめることは、彼から攻撃される者にとっては、おそろしいものであり、彼に攻撃される者の敵にとってはすばらしいものなのです。|9.72
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_38896277.mp3|街を囲んでいる城壁は、高さ二フィート半、幅は少くとも十一インチありますから、その上を馬車で走っても安全です。|8.316
/home/ashankwi/commonVoiceData/ja/testFiles/common_voice_ja_39043371.mp3|派手な表紙の雑誌|2.448
